date,stock,RCV,RVT,positivePartscr,negativePartscr,splogscr,linscr
2012-01-12T00:00:00Z,INTL,55.555,2e-4,0.0173,0.0307,-0.0321,33.906
2012-01-13T00:00:00Z,INTL,-22.221,1e-4,0,0.0226,-0.0128,0
2012-01-17T00:00:00Z,INTL,-20,1e-4,0,0,0,0
2012-01-18T00:00:00Z,INTL,-18.18,1e-4,0,0.0067,-0.0039,0
2012-01-19T00:00:00Z,INTL,53.333,2e-4,0.0218,0.0298,-0.0481,31.3765
2012-01-20T00:00:00Z,INTL,27.273,1e-4,0.027,0.03,-0.0169,40.7646
2012-01-21T00:00:00Z,INTL,38.334,2e-4,0.0151,0.0324,-0.0197,41.1506
2012-01-22T00:00:00Z,INTL,-65.79,5e-4,0.0087,0.0087,0,50
2012-01-24T00:00:00Z,INTL,-64.102,0,0.0172,0.0172,0,50
2012-01-25T00:00:00Z,INTL,-26.828,1e-4,0.0118,0.0158,-0.0143,26.5924
2012-01-26T00:00:00Z,INTL,-25.581,1e-4,0.0147,0.0265,-0.0158,27.0042
2012-01-31T00:00:00Z,INTL,-24.446,1e-4,0.0194,0.0408,-0.0198,32.5581
2012-02-01T00:00:00Z,INTL,-23.404,1e-4,0.0148,0.0363,-0.022,26.973
2012-01-04T00:00:00Z,STAR,0,2e-4,0.0294,0.0294,0,50
2012-01-06T00:00:00Z,STAR,0,1e-4,0,0,0,0
2012-01-07T00:00:00Z,STAR,-57.142,1e-4,0,0,0,0
2012-01-10T00:00:00Z,STAR,16.667,1e-4,0,0.0241,-0.0119,0
2012-01-11T00:00:00Z,STAR,30,1e-4,0.041,0.0082,0.0613,81.4471
2012-01-12T00:00:00Z,STAR,-25.001,1e-4,0,0,0,0
2012-01-13T00:00:00Z,STAR,40,2e-4,0.0152,0,0.0495,100
2012-01-14T00:00:00Z,STAR,0,1e-4,0,0,0,0
2012-01-17T00:00:00Z,STAR,0,2e-4,0.017,0.0057,0.0226,88.9632
2012-01-18T00:00:00Z,STAR,-64.286,0,0.0341,0.0114,0.0111,74.9451
2012-01-19T00:00:00Z,STAR,6.06,1e-4,0,0.0127,-0.0082,0
2012-01-20T00:00:00Z,STAR,27.083,1e-4,0.0333,0.0333,-0.0291,38.9512
2012-01-21T00:00:00Z,STAR,-29.731,1e-4,0,0.0303,-0.0149,0
2012-01-24T00:00:00Z,STAR,4.763,1e-4,0.0147,0,0.0175,100
2012-01-25T00:00:00Z,STAR,-63.414,0,0,0,0,0
2012-01-27T00:00:00Z,STAR,-25.581,1e-4,0,0,0,0
2012-02-01T00:00:00Z,STAR,-61.363,0,0.05,0,0.0244,100
2012-01-04T00:00:00Z,CASH,0,4e-4,0.004,0.0068,-0.0115,35.5769
2012-01-05T00:00:00Z,CASH,23.333,7e-4,0.0034,0.0059,-0.009,38.8024
2012-01-06T00:00:00Z,CASH,-9.091,4e-4,0.0016,0.0053,-0.0131,23.93
2012-01-07T00:00:00Z,CASH,-14.286,5e-4,0,0.003,-0.0183,0
2012-01-08T00:00:00Z,CASH,-77.273,0.0014,0,0,0,0
2012-01-10T00:00:00Z,CASH,30.952,5e-4,0.0044,0.0015,0.0175,75.2434
2012-01-11T00:00:00Z,CASH,33.929,6e-4,0.0016,0.0142,-0.0687,8.6235
2012-01-12T00:00:00Z,CASH,25.833,6e-4,0.0033,0.0103,-0.0421,19.5286
2012-01-13T00:00:00Z,CASH,33.951,7e-4,0.0062,0.0046,4e-4,50.3717
2012-01-14T00:00:00Z,CASH,7.692,6e-4,0.0018,3e-4,0.0067,84.6154
2012-01-17T00:00:00Z,CASH,0,7e-4,0.002,0,0.0096,100
2012-01-18T00:00:00Z,CASH,-7.693,4e-4,0.0066,0.0099,-0.0052,45.7406
2012-01-19T00:00:00Z,CASH,13.736,5e-4,0.0056,0.0122,-0.0189,35.7695
2012-01-20T00:00:00Z,CASH,22.768,5e-4,0.0051,0.0066,-0.0141,39.6149
2012-01-21T00:00:00Z,CASH,-2.702,5e-4,0.0029,0.0032,-0.0041,44.5431
2012-01-24T00:00:00Z,CASH,11.161,6e-4,0.0044,0.0031,0.0051,56.917
2012-01-25T00:00:00Z,CASH,25.259,6e-4,0.0038,0.0047,-0.0053,44.2248
2012-01-26T00:00:00Z,CASH,42.27,8e-4,0.008,0.0168,-0.0599,30.2495
2012-01-27T00:00:00Z,CASH,49.812,9e-4,0.005,0.0108,-0.0533,31.9444
2012-01-28T00:00:00Z,CASH,34.318,9e-4,0.0048,0.0076,-0.0143,39.3329
2012-01-31T00:00:00Z,CASH,-2.97,5e-4,0.0018,0.0035,-0.0106,32.8638
2012-02-01T00:00:00Z,CASH,-29.713,3e-4,0.0028,0.0088,-0.0179,25.7813
2012-01-04T00:00:00Z,PRO,0,2e-4,0.0134,0,0.0172,100
2012-01-13T00:00:00Z,PRO,-20,1e-4,0.0262,0.0114,0.0149,71.8529
2012-01-18T00:00:00Z,PRO,25,1e-4,0.0244,0.0041,0.0372,87.536
2012-01-24T00:00:00Z,PRO,-27.273,1e-4,0.0408,0,0.0392,100
2012-01-25T00:00:00Z,PRO,-58.333,0,0.0161,0,0.008,100
2012-01-26T00:00:00Z,PRO,16.667,1e-4,0.0319,0.0053,0.0408,88.5996
2012-01-31T00:00:00Z,PRO,-56.25,0,0.0193,0.0083,0.0054,69.9275
2012-02-01T00:00:00Z,PRO,47.5,1e-4,0.0251,0.0022,0.0724,95.2244
2012-01-04T00:00:00Z,SENS,0,2e-4,0.0025,0.01,-0.0091,23.5795
2012-01-05T00:00:00Z,SENS,20,2e-4,0.0028,0.0133,-0.0206,24.7653
2012-01-06T00:00:00Z,SENS,0,2e-4,0.0015,0.0118,-0.0197,13.9286
2012-01-07T00:00:00Z,SENS,-20,2e-4,0.0019,0.0114,-0.0137,18.5682
2012-01-10T00:00:00Z,SENS,-16.667,1e-4,0.0046,0.0138,-0.0131,27.6949
2012-01-11T00:00:00Z,SENS,40.476,2e-4,8e-4,0.0111,-0.0357,5.1807
2012-01-12T00:00:00Z,SENS,34.694,3e-4,0.002,0.0109,-0.0325,15.625
2012-01-13T00:00:00Z,SENS,7.5,2e-4,0.0024,0.0119,-0.0225,20.3797
2012-01-14T00:00:00Z,SENS,30.159,3e-4,9e-4,0.0102,-0.0313,8.4399
2012-01-17T00:00:00Z,SENS,27.143,4e-4,0.0016,0.0168,-0.0503,7.9465
2012-01-18T00:00:00Z,SENS,-38.889,1e-4,0.0139,0.0122,-0.0015,47.8261
2012-01-19T00:00:00Z,SENS,50.757,4e-4,0.001,0.0135,-0.063,8.5314
2012-01-20T00:00:00Z,SENS,46.853,4e-4,0.0013,0.0109,-0.0505,8.4365
2012-01-21T00:00:00Z,SENS,43.506,5e-4,0.0011,0.012,-0.0712,6.4189
2012-01-24T00:00:00Z,SENS,-34.066,2e-4,0.0032,0.0158,-0.0227,20.6211
2012-01-25T00:00:00Z,SENS,-32.632,1e-4,0,0.0208,-0.0374,0
2012-01-26T00:00:00Z,SENS,0.98,2e-4,0.0057,0.0081,-0.0088,38.9423
2012-01-27T00:00:00Z,SENS,-31.428,1e-4,0.0052,0.0173,-0.0276,20.0207
2012-01-28T00:00:00Z,SENS,15.79,3e-4,0,0.0129,-0.0559,0
2012-01-31T00:00:00Z,SENS,39,3e-4,0.0016,0.0115,-0.0459,15.5944
2012-02-01T00:00:00Z,SENS,-17.323,1e-4,0.0011,0.011,-0.0263,11.127
2012-01-04T00:00:00Z,WTI,0,1e-4,0,0,0,0
2012-01-05T00:00:00Z,WTI,37.5,2e-4,0,0,0,0
2012-01-06T00:00:00Z,WTI,25,2e-4,0,0,0,0
2012-01-07T00:00:00Z,WTI,-27.273,1e-4,0,0,0,0
2012-01-10T00:00:00Z,WTI,6.667,1e-4,0,0,0,0
2012-01-11T00:00:00Z,WTI,-25.001,1e-4,0,0,0,0
2012-01-12T00:00:00Z,WTI,9.523,1e-4,0,0,0,0
2012-01-13T00:00:00Z,WTI,8.333,1e-4,0,0,0,0
2012-01-14T00:00:00Z,WTI,58.334,4e-4,0.002,0.004,-0.008,33.0579
2012-01-17T00:00:00Z,WTI,-67.742,1e-4,0,0,0,0
2012-01-18T00:00:00Z,WTI,-2.941,1e-4,0.0382,0.0017,0.029,95.8589
2012-01-19T00:00:00Z,WTI,-2.702,1e-4,0,0,0,0
2012-01-20T00:00:00Z,WTI,35.384,2e-4,0.001,0.001,0,50
2012-01-21T00:00:00Z,WTI,17.858,2e-4,0,0,0,0
2012-01-24T00:00:00Z,WTI,-37.5,1e-4,0,0,0,0
2012-01-25T00:00:00Z,WTI,-36,1e-4,0,0,0,0
2012-01-26T00:00:00Z,WTI,35.294,2e-4,0,0.001,-0.0033,0
2012-01-27T00:00:00Z,WTI,-6.896,1e-4,0,0,0,0
2012-01-28T00:00:00Z,WTI,43.86,2e-4,0,0,0,0
2012-01-31T00:00:00Z,WTI,-10.448,1e-4,0,0,0,0
2012-02-01T00:00:00Z,WTI,66.234,3e-4,0.0012,0.004,-0.0065,22.0339
2012-01-04T00:00:00Z,SD,0,3e-4,0,0.0063,-0.0063,0
2012-01-05T00:00:00Z,SD,8.333,3e-4,0.0145,0.0024,0.0418,93.0392
2012-01-06T00:00:00Z,SD,25.926,4e-4,0.011,0.0018,0.0229,82.4897
2012-01-07T00:00:00Z,SD,3.571,4e-4,0.0032,0.0032,0.0042,62.1083
2012-01-08T00:00:00Z,SD,-65.517,0.0014,0,0.0059,-0.0035,0
2012-01-10T00:00:00Z,SD,39.394,4e-4,0.0073,3e-4,0.0226,81.0847
2012-01-11T00:00:00Z,SD,50,6e-4,0.0171,0.0026,0.0461,79.9759
2012-01-12T00:00:00Z,SD,-59.322,1e-4,0,0.0035,-0.0036,0
2012-01-13T00:00:00Z,SD,-70.492,1e-4,0,0,0,0
2012-01-14T00:00:00Z,SD,49.333,7e-4,0,0.0023,-0.0071,0
2012-01-15T00:00:00Z,SD,-85.714,5e-4,0,0,0,0
2012-01-17T00:00:00Z,SD,-84.615,1e-4,0.0265,0.0177,0.0043,59.9548
2012-01-18T00:00:00Z,SD,-36.585,1e-4,0,0.0026,-0.0036,0
2012-01-19T00:00:00Z,SD,47.802,4e-4,0,0.0015,-0.0036,0
2012-01-20T00:00:00Z,SD,-10.891,2e-4,0,0.0053,-0.0107,0
2012-01-21T00:00:00Z,SD,-10.28,3e-4,0,0.0025,-0.0036,0
2012-01-24T00:00:00Z,SD,-24.107,2e-4,0,0.0026,-0.0089,0
2012-01-25T00:00:00Z,SD,-37.931,1e-4,0.0086,0.0043,8e-4,51.8868
2012-01-26T00:00:00Z,SD,18.421,3e-4,0.013,6e-4,0.035,91.7714
2012-01-27T00:00:00Z,SD,-68.254,1e-4,0,0.0069,-0.0068,0
2012-01-28T00:00:00Z,SD,-19.847,2e-4,0,0.0353,-0.0524,0
2012-01-29T00:00:00Z,SD,-83.333,4e-4,0.0137,0,0.0068,100
2012-01-31T00:00:00Z,SD,-48.889,1e-4,0,0.0039,-0.0036,0
2012-02-01T00:00:00Z,SD,2.083,2e-4,0.007,0.0023,0.0225,88.0131
2012-01-02T00:00:00Z,AUD,0,4e-4,0,0,0,0
2012-01-03T00:00:00Z,AUD,41.667,0.0015,0,0,0,0
2012-01-04T00:00:00Z,AUD,58.889,0.0015,0,0,0,0
2012-01-05T00:00:00Z,AUD,40.741,0.0012,0,0,0,0
2012-01-06T00:00:00Z,AUD,24.348,0.001,0,0,0,0
2012-01-07T00:00:00Z,AUD,-27.273,7e-4,0,0,0,0
2012-01-09T00:00:00Z,AUD,-66.346,0.0015,0,0,0,0
2012-01-10T00:00:00Z,AUD,22.5,7e-4,0,0,0,0
2012-01-11T00:00:00Z,AUD,44.445,0.0011,0,0,0,0
2012-01-12T00:00:00Z,AUD,22.609,9e-4,0,0,0,0
2012-01-13T00:00:00Z,AUD,5.742,7e-4,0,0,0,0
2012-01-14T00:00:00Z,AUD,-31.101,5e-4,0,0,0,0
2012-01-16T00:00:00Z,AUD,-35,0.0027,0,0,0,0
2012-01-17T00:00:00Z,AUD,-16.239,8e-4,0,0,0,0
2012-01-18T00:00:00Z,AUD,25.507,7e-4,0,0,0,0
2012-01-19T00:00:00Z,AUD,38.362,0.001,0,0,0,0
2012-01-20T00:00:00Z,AUD,-9.934,5e-4,0,0,0,0
2012-01-21T00:00:00Z,AUD,-47.91,4e-4,0,0,0,0
2012-01-23T00:00:00Z,AUD,-58.176,0.0016,0,0,0,0
2012-01-24T00:00:00Z,AUD,19.286,8e-4,0,0,0,0
2012-01-25T00:00:00Z,AUD,18.367,7e-4,0,0,0,0
2012-01-26T00:00:00Z,AUD,32.517,9e-4,0,0,0,0
2012-01-27T00:00:00Z,AUD,37.781,9e-4,0,0,0,0
2012-01-28T00:00:00Z,AUD,36.207,0.0012,0,0,0,0
2012-01-30T00:00:00Z,AUD,-44.934,0.0024,0,0,0,0
2012-01-31T00:00:00Z,AUD,56.469,0.0015,0,0,0,0
2012-02-01T00:00:00Z,AUD,49.003,0.001,0,0,0,0
2012-02-02T00:00:00Z,PX,-82.253,1e-4,0.0248,0.0099,0.0112,67.4208
2012-02-03T00:00:00Z,PX,-63.636,1e-4,0,0,0,0
2012-02-04T00:00:00Z,PX,0,5e-4,0,0,0,0
2012-02-05T00:00:00Z,PX,-81.29,0.001,0,0,0,0
