date,ranking
2018-12-09,"['PCG', 'COO', 'KKR', 'TGT', 'CAR', 'DAL', 'ET', 'GS', 'AAPL', 'AIG', 'CNC', 'RF', 'GE', 'MO', 'AMZN', 'UAL', 'POOL', 'FDX', 'NFLX', 'NTRS', 'BAC', 'GIS', 'UPS', 'AMD', 'C', 'WMT', 'CAT', 'BLK', 'OKE', 'CVS', 'WFC', 'ABBV', 'MS', 'FB', 'ADP', 'GM', 'IT', 'DD', 'UNH', 'GOOG', 'CRM', 'PFE', 'ORCL', 'HD', 'LUV', 'LEA', 'ABT', 'JPM', 'NDAQ', 'ABC', 'DE', 'WY', 'USB', 'EA', 'CME', 'LNG', 'MSFT', 'V', 'INTC', 'MA', 'MSCI', 'IBM', 'KR', 'PM', 'QCOM', 'IP', 'VZ', 'ICE', 'AXP', 'T', 'CVX', 'FE', 'CMCSA', 'PG', 'CSCO', 'TSLA', 'BMY', 'DIS', 'MAR', 'SO', 'JNJ', 'DUK', 'CMS']"
2018-12-16,"['AAPL', 'TSLA', 'MA', 'RF', 'FDX', 'AMZN', 'NOW', 'CRM', 'OKE', 'GS', 'ET', 'POOL', 'C', 'AAL', 'JNJ', 'GE', 'BSX', 'ABC', 'GIS', 'PCG', 'LEA', 'AIG', 'BAC', 'WFC', 'USB', 'PSA', 'DD', 'INTC', 'LNG', 'UPS', 'CAT', 'NKE', 'NTRS', 'GOOG', 'FB', 'ABT', 'XOM', 'CNC', 'MSFT', 'VZ', 'EA', 'CBOE', 'UNH', 'HD', 'MO', 'F', 'AMD', 'DAL', 'CSCO', 'IP', 'COO', 'MS', 'JPM', 'WMT', 'CME', 'ICE', 'T', 'DIS', 'MAR', 'IBM', 'PFE', 'FE', 'IT', 'DE', 'BLK', 'GM', 'PG', 'NDAQ', 'MSCI', 'QCOM', 'BK']"
2018-12-23,"['ET', 'WY', 'FDX', 'PM', 'AMD', 'CRM', 'CNC', 'AMZN', 'C', 'CI', 'MGM', 'CAR', 'CVS', 'AXP', 'GD', 'POOL', 'NTRS', 'DAL', 'OKE', 'CAT', 'MA', 'UNH', 'ABC', 'RF', 'NFLX', 'IT', 'USB', 'UPS', 'IP', 'XOM', 'FB', 'TGT', 'UAL', 'LUV', 'CSCO', 'NDAQ', 'JPM', 'CMCSA', 'GIS', 'KKR', 'CVX', 'MSCI', 'GOOG', 'BAC', 'CE', 'GS', 'MSFT', 'ABT', 'HD', 'BLK', 'DE', 'COO', 'LEA', 'PFE', 'IBM', 'INTC', 'GM', 'AAPL', 'MAR', 'DIS', 'WFC', 'CBOE', 'MS', 'QCOM', 'ORCL', 'ICE', 'MO', 'WMT', 'JNJ', 'BMY', 'F', 'FE', 'VZ', 'CMS', 'NKE', 'PG', 'GE', 'CME', 'DUK', 'PSA']"
2018-12-30,"['FDX', 'UPS', 'KKR', 'AMZN', 'DAL', 'BSX', 'TGT', 'GS', 'MA', 'ET', 'GOOG', 'IT', 'C', 'GE', 'AAPL', 'ABT', 'WFC', 'WMT', 'NFLX', 'MS', 'ICE', 'ORCL', 'IBM', 'JPM', 'XOM', 'T', 'MAR', 'DIS', 'TSLA', 'VZ', 'FB', 'CME']"
2019-01-06,"['DAL', 'NFLX', 'ABC', 'C', 'AAPL', 'XOM', 'JNJ', 'GS', 'WFC', 'CVS', 'AMZN', 'ET', 'TSLA', 'GE', 'AXP', 'AMD', 'JPM', 'BAC', 'MO', 'UNH', 'MS', 'CVX', 'LNG', 'BX', 'T', 'PG', 'GIS', 'CSCO', 'ICE', 'IBM', 'CRM', 'MCD', 'AAL', 'MAR', 'UAL', 'SO', 'CMS', 'MA', 'V', 'FB', 'BLK', 'FE', 'GM', 'HD', 'MSFT', 'KKR', 'KO', 'BSX', 'VZ', 'DIS', 'CAT', 'CME', 'INTC', 'NKE', 'GOOG', 'PFE', 'COO', 'WMT', 'MSCI', 'PCG']"
2019-01-13,"['PCG', 'ET', 'MGM', 'AMD', 'AMZN', 'AXP', 'NFLX', 'TSLA', 'FB', 'OKE', 'CRM', 'CVS', 'GD', 'BK', 'IP', 'MA', 'UNH', 'LEA', 'TGT', 'F', 'GM', 'NTRS', 'AAPL', 'GE', 'C', 'MSCI', 'GS', 'BSX', 'ABC', 'GOOG', 'PG', 'DAL', 'LUV', 'USB', 'PNC', 'HD', 'MSFT', 'NDAQ', 'CBOE', 'KKR', 'DIS', 'MS', 'BAC', 'BMY', 'JPM', 'UAL', 'IT', 'IBM', 'WMT', 'INTC', 'LNG', 'ADP', 'SBUX', 'T', 'MO', 'ORCL', 'AAL', 'RF', 'ICE', 'COO', 'DE', 'WFC', 'BLK', 'ABT', 'JNJ', 'CMS', 'FE', 'LLY', 'MAR', 'CME', 'ABBV', 'CE', 'VZ', 'NKE']"
2019-01-20,"['PCG', 'NFLX', 'ET', 'TSLA', 'GE', 'F', 'BAC', 'C', 'GS', 'AMD', 'MSCI', 'MGM', 'AMZN', 'LEA', 'NOW', 'BK', 'CRM', 'GOOG', 'KKR', 'EA', 'RF', 'BSX', 'PG', 'DFS', 'UNH', 'AIG', 'NTRS', 'FB', 'IP', 'GM', 'INTC', 'BMY', 'MS', 'TGT', 'QCOM', 'LNG', 'AAPL', 'WMT', 'EBAY', 'OKE', 'LUV', 'PNC', 'AAL', 'TSN', 'NKE', 'HD', 'USB', 'CNC', 'SO', 'T', 'DD', 'DE', 'WY', 'ICE', 'MA', 'CME', 'PM', 'CI', 'WFC', 'ORCL', 'DIS', 'MSFT', 'CMS', 'DAL', 'UAL', 'VZ', 'CAR', 'CVS', 'MO', 'FDX', 'BLK', 'IBM', 'MAR', 'JPM', 'CMCSA', 'LLY', 'ABC', 'CVX', 'COO', 'NDAQ', 'POOL', 'IT', 'FE']"
2019-01-27,"['PCG', 'NFLX', 'GS', 'BMY', 'GE', 'AMZN', 'BAC', 'C', 'MO', 'AAPL', 'IBM', 'AMD', 'TSLA', 'FB', 'GM', 'LEA', 'T', 'CRM', 'LUV', 'ET', 'ABT', 'DAL', 'EBAY', 'OKE', 'GIS', 'RF', 'INTC', 'MSFT', 'WMT', 'BSX', 'CAT', 'POOL', 'MSCI', 'ORCL', 'WFC', 'XOM', 'IP', 'UAL', 'MS', 'PNC', 'GOOG', 'CE', 'FDX', 'BX', 'BLK', 'CNC', 'JPM', 'PM', 'ABC', 'ICE', 'COO', 'NTRS', 'MA', 'PSA', 'CME', 'CMCSA', 'KO', 'DD', 'UPS', 'CMS', 'USB', 'AXP', 'DIS', 'SO', 'SBUX', 'ADP', 'V', 'MAR', 'CVS', 'PG', 'HD', 'F', 'IT', 'VZ', 'AAL']"
2019-02-03,"['PCG', 'MO', 'LEA', 'CBOE', 'GE', 'AMD', 'GM', 'CAR', 'FB', 'GS', 'BAC', 'DD', 'NFLX', 'TSLA', 'C', 'PG', 'CAT', 'PFE', 'IP', 'WFC', 'MSCI', 'MGM', 'EA', 'AAPL', 'CRM', 'TSN', 'LNG', 'VZ', 'EBAY', 'UAL', 'LLY', 'MSFT', 'UNH', 'MS', 'AMZN', 'POOL', 'T', 'ICE', 'CNC', 'ET', 'UPS', 'CVS', 'RF', 'AAL', 'NTRS', 'XOM', 'MCD', 'BX', 'MA', 'JNJ', 'ABC', 'INTC', 'CME', 'HD', 'QCOM', 'IBM', 'USB', 'WMT', 'CVX', 'FDX', 'AIG', 'CI', 'COO', 'DAL', 'DE', 'CE', 'ADP', 'CMCSA', 'GOOG', 'MAR', 'BSX', 'DIS', 'V', 'KR', 'FE', 'SBUX', 'JPM', 'DFS', 'BLK', 'PSA', 'CMS', 'BMY', 'ABT', 'IT', 'DUK']"
2019-02-10,"['TSLA', 'AMD', 'ET', 'BAC', 'F', 'GS', 'GE', 'KKR', 'FB', 'C', 'WFC', 'MSCI', 'BK', 'TSN', 'CI', 'PM', 'MS', 'AMZN', 'LEA', 'EA', 'CE', 'AAL', 'AAPL', 'GOOG', 'UAL', 'NTRS', 'GM', 'FDX', 'PSA', 'BMY', 'JPM', 'DUK', 'ADP', 'OKE', 'RF', 'MGM', 'MSFT', 'PNC', 'CSCO', 'USB', 'ABC', 'NFLX', 'ICE', 'VZ', 'NKE', 'WMT', 'LNG', 'CMCSA', 'PG', 'DIS', 'PFE', 'CME', 'IBM', 'HON', 'IT', 'IP', 'COO', 'NDAQ', 'LLY', 'MO', 'DAL', 'MAR', 'CVX', 'SO', 'CRM', 'INTC', 'MA', 'HD', 'KO', 'T', 'CVS', 'CMS', 'FE']"
