date,ranking
2019-02-17,"['PCG', 'MO', 'CAR', 'MS', 'EBAY', 'NOW', 'EA', 'KO', 'FB', 'CI', 'LEA', 'PFE', 'GS', 'AAPL', 'CVS', 'DFS', 'VZ', 'AAL', 'AIG', 'LUV', 'XOM', 'BAC', 'AMD', 'GE', 'PM', 'T', 'DE', 'ICE', 'BMY', 'WY', 'F', 'RF', 'IP', 'C', 'CNC', 'JPM', 'UPS', 'AMZN', 'CME', 'V', 'GIS', 'TSLA', 'MGM', 'DUK', 'IBM', 'WFC', 'NKE', 'UAL', 'CMS', 'USB', 'CSCO', 'MCD', 'HD', 'SBUX', 'LNG', 'BLK', 'NTRS', 'ET', 'NDAQ', 'NFLX', 'JNJ', 'FE', 'GD', 'MSFT', 'OKE', 'CE', 'CRM', 'COO', 'PG', 'MAR', 'GM', 'CVX', 'AXP', 'GOOG', 'MA', 'IT', 'WMT', 'FDX', 'MSCI', 'ABC', 'DIS', 'BSX', 'ORCL']"
2019-02-24,"['CAR', 'PCG', 'EA', 'NOW', 'CVS', 'GE', 'LUV', 'FB', 'PM', 'MSFT', 'DD', 'MO', 'MS', 'AAPL', 'AMZN', 'CAT', 'DAL', 'TSLA', 'CME', 'MCD', 'MAR', 'INTC', 'KR', 'LLY', 'XOM', 'WMT', 'DE', 'GS', 'AAL', 'ABC', 'IT', 'T', 'KO', 'MGM', 'MA', 'ET', 'NTRS', 'PSA', 'MSCI', 'ORCL', 'OKE', 'BMY', 'RF', 'PG', 'WFC', 'PNC', 'CSCO', 'CMS', 'GIS', 'UAL', 'LEA', 'FDX', 'BSX', 'JPM', 'UNH', 'GM', 'GOOG', 'CRM', 'HD', 'CNC', 'F', 'NKE', 'DIS', 'ICE', 'COO', 'ABT', 'IBM', 'CMCSA', 'IP', 'C', 'USB', 'FE', 'NFLX']"
2019-03-03,"['PCG', 'CAR', 'CI', 'PG', 'GE', 'CVS', 'PM', 'MAR', 'LEA', 'CAT', 'ET', 'CE', 'COO', 'F', 'MGM', 'CME', 'DD', 'GS', 'EA', 'POOL', 'MSCI', 'KKR', 'TSLA', 'AAPL', 'IBM', 'WFC', 'LNG', 'FE', 'MS', 'SO', 'LLY', 'JPM', 'ABC', 'HD', 'PSA', 'GOOG', 'ADP', 'T', 'MSFT', 'AMZN', 'OKE', 'DAL', 'C', 'NFLX', 'EBAY', 'KR', 'ABBV', 'IP', 'ICE', 'UPS', 'CMS', 'LUV', 'BSX', 'GM', 'RF', 'FB', 'PFE', 'WMT', 'CVX', 'DE', 'MO', 'XOM', 'VZ', 'GIS', 'BMY', 'BLK', 'DUK', 'JNJ', 'USB', 'PNC', 'INTC', 'CMCSA', 'DIS', 'MA', 'NTRS', 'AXP', 'NDAQ', 'V', 'QCOM', 'CRM', 'CSCO', 'TGT', 'BAC', 'IT']"
2019-03-10,"['CVS', 'KR', 'AAL', 'PCG', 'CI', 'NDAQ', 'GE', 'EA', 'ABC', 'AMD', 'CRM', 'INTC', 'LEA', 'ET', 'RF', 'POOL', 'IBM', 'MAR', 'MSCI', 'PM', 'UAL', 'ICE', 'CME', 'TSLA', 'C', 'QCOM', 'CE', 'DFS', 'IT', 'F', 'BMY', 'CSCO', 'ABT', 'MCD', 'DE', 'NTRS', 'MGM', 'LLY', 'MS', 'HON', 'HD', 'COO', 'FB', 'AMZN', 'XOM', 'MSFT', 'AAPL', 'MA', 'JPM', 'BAC', 'BSX', 'AXP', 'DAL', 'T', 'GIS', 'GM', 'GS', 'ORCL', 'VZ', 'NFLX', 'MO', 'PSA', 'CMCSA', 'WMT', 'TGT', 'CVX', 'IP', 'USB', 'WFC', 'CMS', 'GOOG', 'DIS', 'PG', 'LNG', 'FE']"
2019-03-17,"['PCG', 'CVS', 'EA', 'LUV', 'KR', 'UNH', 'QCOM', 'CI', 'CNC', 'TSLA', 'AAPL', 'ABBV', 'DE', 'CMCSA', 'MAR', 'ABC', 'GS', 'AMD', 'PSA', 'AMZN', 'PG', 'GE', 'AIG', 'POOL', 'CBOE', 'ET', 'BK', 'NFLX', 'NTRS', 'BSX', 'KKR', 'CRM', 'AAL', 'C', 'UPS', 'LEA', 'EBAY', 'CAT', 'MGM', 'TSN', 'GIS', 'PFE', 'BMY', 'BAC', 'MA', 'MCD', 'UAL', 'CE', 'ADP', 'GD', 'INTC', 'NKE', 'DAL', 'V', 'FE', 'PM', 'JPM', 'BX', 'ICE', 'T', 'NOW', 'HD', 'AXP', 'MSFT', 'WY', 'USB', 'WMT', 'GOOG', 'BLK', 'MO', 'CSCO', 'RF', 'MS', 'COO', 'VZ', 'WFC', 'CME', 'GM', 'FB', 'OKE', 'IP', 'DIS', 'IBM', 'XOM', 'LNG', 'IT', 'JNJ', 'F', 'CMS', 'LLY', 'CVX', 'DD', 'ORCL', 'ABT', 'MSCI', 'TGT']"
2019-03-24,"['AMD', 'KEY', 'RF', 'UNH', 'AAL', 'CVS', 'CI', 'LEA', 'UAL', 'KKR', 'DAL', 'USB', 'KR', 'COO', 'GIS', 'DIS', 'JPM', 'AIG', 'BMY', 'BSX', 'MSCI', 'CME', 'HD', 'LNG', 'C', 'GM', 'NKE', 'TSLA', 'QCOM', 'T', 'MS', 'OKE', 'CAT', 'NTRS', 'CAR', 'BLK', 'ET', 'CSCO', 'ABC', 'FB', 'GE', 'LUV', 'FE', 'PSA', 'MAR', 'CE', 'MGM', 'IP', 'GS', 'DD', 'V', 'DE', 'GOOG', 'WFC', 'GD', 'BX', 'NFLX', 'AAPL', 'ABT', 'PFE', 'MO', 'PG', 'CRM', 'EA', 'WMT', 'FDX', 'CMCSA', 'POOL', 'TGT', 'CVX', 'CBOE', 'ICE', 'AMZN', 'JNJ', 'XOM', 'INTC', 'VZ', 'MSFT', 'KO', 'MCD', 'IBM', 'CMS', 'ORCL', 'IT', 'SBUX', 'PM', 'MA']"
2019-03-31,"['AMD', 'KR', 'CVS', 'CNC', 'PCG', 'RF', 'NDAQ', 'ABC', 'ICE', 'CAR', 'KEY', 'LEA', 'LUV', 'TSLA', 'CME', 'GE', 'CAT', 'FDX', 'AAPL', 'CRM', 'CBOE', 'DE', 'GM', 'BAC', 'PG', 'BSX', 'BMY', 'AMZN', 'BLK', 'NKE', 'MSCI', 'UNH', 'C', 'USB', 'GS', 'IBM', 'NTRS', 'MCD', 'ABT', 'MS', 'JPM', 'NFLX', 'GOOG', 'DIS', 'T', 'PSA', 'MSFT', 'FB', 'TGT', 'WFC', 'DAL', 'PNC', 'GIS', 'HD', 'LLY', 'MAR', 'VZ', 'POOL', 'LNG', 'CMCSA', 'INTC', 'CSCO', 'WY', 'MA', 'IT', 'COO', 'WMT', 'MO', 'IP', 'ET', 'GD', 'CMS', 'FE', 'DD', 'OKE', 'JNJ']"
2019-04-07,"['AMD', 'LEA', 'DAL', 'FB', 'PCG', 'MS', 'ADP', 'TSLA', 'AMZN', 'COO', 'NTRS', 'CE', 'AIG', 'RF', 'MO', 'FE', 'NOW', 'BMY', 'MAR', 'AAPL', 'HD', 'MSCI', 'LUV', 'ABC', 'LLY', 'BAC', 'GOOG', 'GM', 'CVS', 'JPM', 'PG', 'NFLX', 'USB', 'BX', 'CVX', 'NKE', 'DE', 'C', 'CMCSA', 'MSFT', 'ABT', 'T', 'UPS', 'WFC', 'QCOM', 'ICE', 'EA', 'DIS', 'CAR', 'F', 'OKE', 'INTC', 'GS', 'CI', 'CRM', 'ET', 'PSA', 'DD', 'IT', 'LNG', 'CME', 'GE', 'WMT', 'POOL', 'VZ', 'MA', 'XOM', 'WY', 'IBM', 'NDAQ', 'CMS', 'SO', 'EBAY', 'IP']"
2019-04-14,"['RF', 'PCG', 'LEA', 'AMD', 'PNC', 'BAC', 'C', 'FOX', 'PG', 'NTRS', 'UNH', 'BSX', 'JPM', 'DAL', 'USB', 'GS', 'DIS', 'NKE', 'BK', 'GE', 'WFC', 'LUV', 'CAR', 'BLK', 'CVX', 'GM', 'TSLA', 'CNC', 'MS', 'GIS', 'AIG', 'CAT', 'ABC', 'DFS', 'AAL', 'UAL', 'FE', 'BMY', 'CE', 'CME', 'ICE', 'DE', 'HD', 'CMCSA', 'UPS', 'ORCL', 'POOL', 'F', 'NFLX', 'AMZN', 'IP', 'PM', 'MSCI', 'NOW', 'ET', 'MSFT', 'EA', 'NDAQ', 'CVS', 'V', 'SBUX', 'ABT', 'LNG', 'AAPL', 'CI', 'MAR', 'VZ', 'MGM', 'EBAY', 'ADP', 'IT', 'GOOG', 'INTC', 'MO', 'DD', 'XOM', 'PFE', 'FB', 'CSCO', 'COO', 'JNJ', 'CMS', 'TGT', 'CRM', 'DUK', 'QCOM', 'T', 'KO', 'PSA', 'IBM', 'WMT', 'MCD', 'MA']"
2019-04-21,"['QCOM', 'PCG', 'CNC', 'DAL', 'DIS', 'RF', 'CI', 'LEA', 'IP', 'BK', 'COO', 'PG', 'CVS', 'TSLA', 'AAL', 'PNC', 'LLY', 'MS', 'GE', 'BAC', 'AMD', 'FOX', 'GS', 'IT', 'CRM', 'CSCO', 'GOOG', 'ABC', 'ABT', 'WFC', 'MO', 'JPM', 'BMY', 'UNH', 'PM', 'NTRS', 'AIG', 'PSA', 'ADP', 'UPS', 'BX', 'LNG', 'LUV', 'ICE', 'AAPL', 'NKE', 'MGM', 'C', 'FB', 'FE', 'BLK', 'ET', 'IBM', 'ABBV', 'CE', 'EBAY', 'NFLX', 'GM', 'INTC', 'VZ', 'JNJ', 'AMZN', 'NDAQ', 'DUK', 'SBUX', 'SO', 'DE', 'WMT', 'GD', 'CVX', 'GIS', 'KKR', 'USB', 'CMCSA', 'KO', 'HON', 'MSFT', 'MA', 'CME', 'T', 'MCD', 'XOM', 'AXP']"
