date,ranking
2018-12-09,"['PCG', 'TGT', 'CAR', 'GS', 'AAPL', 'GE', 'AIG', 'KKR', 'COO', 'MO', 'GIS', 'ET', 'RF', 'FDX', 'C', 'BAC', 'MS', 'NFLX', 'NTRS', 'WMT', 'CRM', 'CVS', 'DAL', 'AMD', 'JPM', 'OKE', 'WFC', 'EA', 'CNC', 'AMZN', 'DD', 'LEA', 'HD', 'ORCL', 'UPS', 'CAT', 'ADP', 'KR', 'ABBV', 'PM', 'PFE', 'INTC', 'BLK', 'UAL', 'POOL', 'ABC', 'V', 'DIS', 'MA', 'IT', 'MSFT', 'UNH', 'T', 'ABT', 'MAR', 'VZ', 'NDAQ', 'GM', 'FB', 'USB', 'CSCO', 'LNG', 'IBM', 'DE', 'WY', 'ICE', 'CMCSA', 'MSCI', 'CVX', 'CME', 'GOOG', 'IP', 'LUV', 'DUK', 'AXP', 'BMY', 'QCOM', 'FE', 'PG', 'TSLA', 'CMS', 'SO', 'JNJ']"
2018-12-16,"['AAPL', 'FDX', 'RF', 'C', 'GIS', 'GS', 'GE', 'WFC', 'NTRS', 'CRM', 'TSLA', 'JNJ', 'NOW', 'MS', 'ABC', 'ET', 'USB', 'OKE', 'BAC', 'DD', 'MA', 'UPS', 'POOL', 'MO', 'AAL', 'AIG', 'CNC', 'MAR', 'JPM', 'AMZN', 'LEA', 'EA', 'CBOE', 'AMD', 'HD', 'ICE', 'BLK', 'VZ', 'BSX', 'CAT', 'XOM', 'INTC', 'F', 'DAL', 'WMT', 'ABT', 'IT', 'UNH', 'CME', 'PSA', 'FB', 'COO', 'IP', 'BK', 'LNG', 'DIS', 'CSCO', 'MSFT', 'PCG', 'NDAQ', 'MSCI', 'GOOG', 'DE', 'NKE', 'GM', 'IBM', 'T', 'PG', 'PFE', 'FE', 'QCOM']"
2018-12-23,"['FDX', 'PM', 'CRM', 'CNC', 'AMZN', 'CI', 'GD', 'MGM', 'CVS', 'C', 'AMD', 'ET', 'GS', 'CE', 'WY', 'AXP', 'GIS', 'CAR', 'ABC', 'IT', 'RF', 'KKR', 'DAL', 'USB', 'UAL', 'FB', 'NTRS', 'TGT', 'MA', 'UNH', 'NFLX', 'IP', 'CSCO', 'OKE', 'NDAQ', 'MSCI', 'BAC', 'UPS', 'POOL', 'COO', 'CVX', 'JPM', 'AAPL', 'XOM', 'MAR', 'CAT', 'LEA', 'ICE', 'ABT', 'DE', 'MO', 'ORCL', 'IBM', 'MS', 'MSFT', 'F', 'JNJ', 'GM', 'WMT', 'INTC', 'GOOG', 'LUV', 'PFE', 'WFC', 'CBOE', 'HD', 'BLK', 'DIS', 'BMY', 'CMCSA', 'VZ', 'QCOM', 'PSA', 'CME', 'PG', 'NKE', 'CMS', 'GE', 'DUK', 'FE']"
2018-12-30,"['FDX', 'C', 'UPS', 'DAL', 'KKR', 'JPM', 'WFC', 'NFLX', 'AMZN', 'BSX', 'GS', 'MS', 'IT', 'AAPL', 'TGT', 'ET', 'T', 'XOM', 'ABT', 'ORCL', 'GOOG', 'WMT', 'MA', 'ICE', 'MAR', 'VZ', 'IBM', 'FB', 'DIS', 'GE', 'TSLA', 'CME']"
2019-01-06,"['AAPL', 'DAL', 'UNH', 'JNJ', 'C', 'ABC', 'TSLA', 'AXP', 'MO', 'XOM', 'ET', 'WFC', 'NFLX', 'GS', 'KKR', 'AMZN', 'BX', 'CVS', 'CVX', 'CMS', 'JPM', 'BAC', 'CSCO', 'MCD', 'MS', 'UAL', 'AAL', 'SO', 'CRM', 'BSX', 'AMD', 'V', 'VZ', 'MAR', 'T', 'GM', 'MA', 'GE', 'PCG', 'PG', 'LNG', 'FE', 'INTC', 'MSFT', 'GIS', 'BLK', 'KO', 'DIS', 'ICE', 'PFE', 'CME', 'FB', 'MSCI', 'CAT', 'HD', 'IBM', 'COO', 'NKE', 'WMT', 'GOOG']"
2019-01-13,"['PCG', 'MGM', 'NFLX', 'AMD', 'ET', 'AMZN', 'TSLA', 'AXP', 'FB', 'CRM', 'LEA', 'OKE', 'GD', 'MA', 'IP', 'AAPL', 'GE', 'CVS', 'UNH', 'C', 'IT', 'BK', 'IBM', 'DAL', 'TGT', 'ABC', 'CBOE', 'ADP', 'GM', 'BSX', 'USB', 'UAL', 'NTRS', 'HD', 'MO', 'PNC', 'KKR', 'NDAQ', 'LNG', 'T', 'F', 'ICE', 'RF', 'INTC', 'GOOG', 'JPM', 'COO', 'CMS', 'LUV', 'GS', 'BMY', 'ORCL', 'PG', 'DIS', 'WMT', 'SBUX', 'DE', 'MSFT', 'AAL', 'ABT', 'CME', 'FE', 'ABBV', 'MAR', 'BAC', 'MS', 'JNJ', 'CE', 'MSCI', 'VZ', 'LLY', 'WFC', 'BLK', 'NKE']"
2019-01-20,"['PCG', 'NFLX', 'GE', 'MGM', 'ET', 'LEA', 'AMD', 'CRM', 'NOW', 'TSLA', 'AMZN', 'EBAY', 'LNG', 'EA', 'IP', 'TGT', 'RF', 'F', 'CNC', 'PG', 'MA', 'AIG', 'C', 'DFS', 'OKE', 'ORCL', 'WY', 'CAR', 'GM', 'IBM', 'HD', 'T', 'COO', 'POOL', 'TSN', 'KKR', 'GS', 'FB', 'BAC', 'LLY', 'NTRS', 'CVX', 'USB', 'INTC', 'SO', 'DD', 'WMT', 'GOOG', 'BSX', 'MAR', 'MSCI', 'CMS', 'QCOM', 'DIS', 'NKE', 'DE', 'CI', 'BMY', 'LUV', 'DAL', 'AAL', 'PM', 'VZ', 'MS', 'ICE', 'MO', 'AAPL', 'ABC', 'CME', 'NDAQ', 'CVS', 'IT', 'BK', 'BLK', 'FDX', 'UAL', 'MSFT', 'FE', 'PNC', 'UNH', 'CMCSA', 'WFC', 'JPM']"
2019-01-27,"['PCG', 'NFLX', 'GS', 'C', 'OKE', 'BAC', 'GE', 'GM', 'RF', 'LEA', 'MO', 'AMZN', 'CRM', 'ET', 'TSLA', 'IP', 'CNC', 'BMY', 'GIS', 'AMD', 'T', 'FDX', 'BX', 'BSX', 'DAL', 'USB', 'PNC', 'DD', 'JPM', 'ABT', 'ORCL', 'BLK', 'FB', 'CAT', 'LUV', 'PM', 'EBAY', 'CE', 'MSCI', 'XOM', 'NTRS', 'POOL', 'WFC', 'SO', 'CMCSA', 'MS', 'AXP', 'IBM', 'F', 'MA', 'AAPL', 'WMT', 'HD', 'CVS', 'MSFT', 'ABC', 'COO', 'GOOG', 'DIS', 'CME', 'PSA', 'ICE', 'ADP', 'V', 'KO', 'MAR', 'INTC', 'CMS', 'UAL', 'IT', 'UPS', 'VZ', 'PG', 'SBUX', 'AAL']"
2019-02-03,"['PCG', 'LEA', 'BAC', 'NFLX', 'C', 'CAR', 'QCOM', 'MO', 'GM', 'CBOE', 'CNC', 'AMD', 'EBAY', 'IBM', 'PFE', 'RF', 'MGM', 'PG', 'GE', 'CRM', 'TSLA', 'COO', 'EA', 'UNH', 'TSN', 'DD', 'USB', 'GS', 'IP', 'BSX', 'UAL', 'FB', 'VZ', 'POOL', 'NTRS', 'AAPL', 'DE', 'LNG', 'CAT', 'LLY', 'CME', 'V', 'AMZN', 'MCD', 'AIG', 'FDX', 'HD', 'SBUX', 'T', 'CVS', 'UPS', 'AAL', 'WMT', 'DIS', 'MSFT', 'KR', 'CMCSA', 'DFS', 'CMS', 'CI', 'PSA', 'JNJ', 'WFC', 'ABC', 'MS', 'IT', 'MSCI', 'DAL', 'MA', 'BMY', 'ICE', 'JPM', 'DUK', 'ABT', 'FE', 'XOM', 'MAR', 'INTC', 'CE', 'ET', 'BLK', 'BX', 'GOOG', 'ADP', 'CVX']"
2019-02-10,"['AMD', 'TSLA', 'GS', 'C', 'GE', 'BAC', 'AAL', 'FB', 'BK', 'ET', 'VZ', 'CI', 'F', 'PNC', 'NKE', 'RF', 'KKR', 'WFC', 'TSN', 'T', 'NDAQ', 'USB', 'OKE', 'IBM', 'AMZN', 'FDX', 'MSCI', 'AAPL', 'MA', 'NTRS', 'MS', 'JPM', 'UAL', 'PG', 'CRM', 'CSCO', 'ADP', 'MGM', 'LEA', 'ABC', 'MSFT', 'BMY', 'CE', 'GM', 'MAR', 'ICE', 'PM', 'CME', 'COO', 'GOOG', 'SO', 'DIS', 'LNG', 'PFE', 'WMT', 'MO', 'KO', 'INTC', 'CMCSA', 'HD', 'NFLX', 'EA', 'CMS', 'DUK', 'IT', 'CVS', 'DAL', 'CVX', 'PSA', 'IP', 'FE', 'HON', 'LLY']"
2019-02-17,"['PCG', 'CAR', 'MO', 'LUV', 'NOW', 'MS', 'FB', 'EA', 'KO', 'EBAY', 'PM', 'AMD', 'AIG', 'CVS', 'CI', 'AMZN', 'DE', 'UPS', 'XOM', 'CME', 'SBUX', 'VZ', 'DUK', 'CNC', 'IBM', 'LEA', 'WY', 'ICE', 'JPM', 'RF', 'PFE', 'UAL', 'T', 'LNG', 'DFS', 'MGM', 'BLK', 'AAPL', 'NDAQ', 'F', 'IP', 'AAL', 'V', 'CRM', 'CMS', 'USB', 'BSX', 'MCD', 'GS', 'ET', 'GIS', 'BMY', 'MSFT', 'WMT', 'CVX', 'IT', 'NKE', 'AXP', 'BAC', 'C', 'FE', 'GD', 'GM', 'NFLX', 'TSLA', 'DIS', 'PG', 'OKE', 'MAR', 'ORCL', 'MA', 'HD', 'WFC', 'FDX', 'NTRS', 'CE', 'JNJ', 'ABC', 'GE', 'GOOG', 'CSCO', 'MSCI', 'COO']"
2019-02-24,"['PCG', 'CAR', 'NOW', 'EA', 'GE', 'MO', 'LUV', 'CVS', 'FB', 'DD', 'INTC', 'MGM', 'XOM', 'PM', 'HD', 'ABC', 'IT', 'AAPL', 'TSLA', 'MSFT', 'PSA', 'LLY', 'ET', 'MAR', 'CME', 'MA', 'DAL', 'PNC', 'KR', 'KO', 'PG', 'CRM', 'CAT', 'CNC', 'AMZN', 'OKE', 'LEA', 'MCD', 'MSCI', 'NTRS', 'UAL', 'UNH', 'CMS', 'MS', 'NFLX', 'CSCO', 'IBM', 'C', 'CMCSA', 'ICE', 'USB', 'AAL', 'BMY', 'GS', 'WMT', 'RF', 'WFC', 'IP', 'T', 'DE', 'DIS', 'GM', 'GOOG', 'JPM', 'ORCL', 'FDX', 'GIS', 'F', 'ABT', 'NKE', 'COO', 'FE', 'BSX']"
2019-03-03,"['PCG', 'CAR', 'CI', 'PM', 'ET', 'CVS', 'MAR', 'MGM', 'LEA', 'CE', 'EA', 'PG', 'TSLA', 'CAT', 'ADP', 'LNG', 'GE', 'F', 'INTC', 'BSX', 'KKR', 'DE', 'EBAY', 'LUV', 'DD', 'QCOM', 'JPM', 'GIS', 'NFLX', 'PSA', 'KR', 'LLY', 'ICE', 'MSFT', 'MSCI', 'FB', 'RF', 'DAL', 'HD', 'OKE', 'JNJ', 'ABC', 'SO', 'CME', 'NTRS', 'AAPL', 'DUK', 'PNC', 'CSCO', 'C', 'VZ', 'ABBV', 'GOOG', 'MS', 'WMT', 'MO', 'GS', 'WFC', 'BLK', 'CMCSA', 'COO', 'CVX', 'CMS', 'GM', 'NDAQ', 'IP', 'POOL', 'UPS', 'IBM', 'XOM', 'AMZN', 'USB', 'CRM', 'AXP', 'TGT', 'DIS', 'MA', 'BMY', 'T', 'PFE', 'BAC', 'IT', 'FE', 'V']"
