date,ranking
2018-12-09,"['PCG', 'KKR', 'TGT', 'CAR', 'COO', 'GS', 'FDX', 'MO', 'AIG', 'GE', 'C', 'AMZN', 'DAL', 'AAPL', 'RF', 'WMT', 'BAC', 'ET', 'NFLX', 'NTRS', 'GIS', 'UAL', 'CNC', 'AMD', 'DD', 'CAT', 'MS', 'CVS', 'JPM', 'UPS', 'GM', 'POOL', 'ABBV', 'HD', 'INTC', 'ADP', 'OKE', 'FB', 'EA', 'LEA', 'KR', 'IT', 'WY', 'BLK', 'MSFT', 'PFE', 'V', 'WFC', 'MA', 'CRM', 'ORCL', 'ABC', 'ABT', 'T', 'USB', 'DIS', 'QCOM', 'NDAQ', 'MSCI', 'DE', 'UNH', 'VZ', 'MAR', 'LNG', 'GOOG', 'PM', 'IBM', 'FE', 'LUV', 'ICE', 'CSCO', 'IP', 'AXP', 'CMCSA', 'CVX', 'JNJ', 'PG', 'CME', 'DUK', 'TSLA', 'BMY', 'SO', 'CMS']"
2018-12-16,"['AAPL', 'MA', 'TSLA', 'FDX', 'C', 'GS', 'RF', 'NOW', 'AMZN', 'CRM', 'GE', 'WFC', 'DD', 'BAC', 'GIS', 'OKE', 'MS', 'ABC', 'JNJ', 'ET', 'FB', 'BSX', 'USB', 'NTRS', 'XOM', 'MAR', 'CSCO', 'CBOE', 'UPS', 'MO', 'AMD', 'JPM', 'FE', 'PCG', 'POOL', 'AIG', 'LNG', 'ABT', 'CAT', 'AAL', 'MSFT', 'VZ', 'NKE', 'EA', 'ICE', 'LEA', 'DAL', 'BLK', 'WMT', 'MSCI', 'GOOG', 'INTC', 'UNH', 'CNC', 'CME', 'IBM', 'IT', 'PSA', 'IP', 'F', 'DE', 'COO', 'DIS', 'BK', 'T', 'HD', 'PG', 'NDAQ', 'PFE', 'QCOM', 'GM']"
2018-12-23,"['PM', 'FDX', 'CRM', 'AMD', 'ET', 'MGM', 'AMZN', 'AXP', 'CNC', 'WY', 'CI', 'FB', 'CVS', 'GD', 'C', 'MA', 'OKE', 'UNH', 'IT', 'IP', 'CSCO', 'GIS', 'MSCI', 'CAR', 'NFLX', 'ABC', 'CVX', 'NTRS', 'XOM', 'DAL', 'TGT', 'USB', 'NDAQ', 'CE', 'AAPL', 'CAT', 'RF', 'MAR', 'IBM', 'KKR', 'MSFT', 'POOL', 'MO', 'ABT', 'HD', 'LEA', 'GS', 'DE', 'UAL', 'UPS', 'LUV', 'GM', 'F', 'BAC', 'COO', 'GOOG', 'DIS', 'INTC', 'MS', 'PFE', 'QCOM', 'ORCL', 'CBOE', 'CMCSA', 'JPM', 'WFC', 'ICE', 'JNJ', 'PG', 'BMY', 'VZ', 'FE', 'WMT', 'BLK', 'CMS', 'NKE', 'GE', 'DUK', 'CME', 'PSA']"
2018-12-30,"['FDX', 'C', 'AMZN', 'UPS', 'WFC', 'KKR', 'ET', 'MS', 'DAL', 'JPM', 'TGT', 'BSX', 'IT', 'GS', 'AAPL', 'NFLX', 'MA', 'GE', 'GOOG', 'WMT', 'XOM', 'ABT', 'MAR', 'T', 'FB', 'ICE', 'VZ', 'DIS', 'IBM', 'ORCL', 'TSLA', 'CME']"
2019-01-06,"['NFLX', 'ET', 'JNJ', 'DAL', 'C', 'GE', 'XOM', 'WFC', 'ABC', 'GS', 'CVS', 'AXP', 'AMZN', 'AMD', 'BX', 'AAPL', 'TSLA', 'KKR', 'UNH', 'JPM', 'T', 'LNG', 'AAL', 'MS', 'CVX', 'CMS', 'MAR', 'CSCO', 'MO', 'GIS', 'SO', 'UAL', 'IBM', 'FB', 'PCG', 'BAC', 'VZ', 'FE', 'KO', 'BSX', 'MA', 'V', 'ICE', 'GM', 'CRM', 'COO', 'DIS', 'BLK', 'MSFT', 'CAT', 'MSCI', 'PG', 'GOOG', 'HD', 'PFE', 'CME', 'MCD', 'WMT', 'INTC', 'NKE']"
2019-01-13,"['PCG', 'NFLX', 'AXP', 'AMD', 'MGM', 'ET', 'AMZN', 'FB', 'TSLA', 'CVS', 'GD', 'LEA', 'BK', 'OKE', 'MA', 'CRM', 'MSCI', 'IP', 'C', 'LUV', 'GS', 'NDAQ', 'UAL', 'GE', 'UNH', 'TGT', 'USB', 'ABC', 'JPM', 'CBOE', 'AAPL', 'NTRS', 'MSFT', 'GOOG', 'MO', 'IT', 'PNC', 'GM', 'IBM', 'DAL', 'ICE', 'BSX', 'DIS', 'SBUX', 'F', 'AAL', 'HD', 'INTC', 'MS', 'PG', 'MAR', 'BAC', 'WMT', 'KKR', 'ADP', 'T', 'BMY', 'RF', 'ORCL', 'LNG', 'FE', 'DE', 'BLK', 'COO', 'CMS', 'VZ', 'WFC', 'CME', 'ABT', 'CE', 'LLY', 'JNJ', 'ABBV', 'NKE']"
2019-01-20,"['PCG', 'NFLX', 'GE', 'TSLA', 'ET', 'MGM', 'LEA', 'GS', 'AMD', 'NOW', 'EA', 'F', 'IP', 'C', 'BAC', 'LNG', 'AMZN', 'CRM', 'OKE', 'KKR', 'BK', 'RF', 'MSCI', 'T', 'TGT', 'HD', 'BMY', 'EBAY', 'CNC', 'TSN', 'UAL', 'DFS', 'BSX', 'FB', 'LUV', 'AIG', 'NTRS', 'AAL', 'PM', 'GOOG', 'SO', 'POOL', 'MA', 'QCOM', 'WY', 'GM', 'UNH', 'INTC', 'CI', 'CAR', 'NKE', 'ORCL', 'WMT', 'USB', 'AAPL', 'DIS', 'IBM', 'MAR', 'ICE', 'DD', 'MS', 'FDX', 'BLK', 'DE', 'LLY', 'COO', 'WFC', 'DAL', 'CVX', 'VZ', 'JPM', 'PNC', 'MSFT', 'CMS', 'NDAQ', 'CME', 'CVS', 'ABC', 'FE', 'PG', 'CMCSA', 'MO', 'IT']"
2019-01-27,"['PCG', 'NFLX', 'GS', 'BMY', 'C', 'BAC', 'LEA', 'GM', 'ET', 'MO', 'GE', 'TSLA', 'CRM', 'OKE', 'RF', 'MSCI', 'AMZN', 'DAL', 'AAPL', 'AMD', 'GIS', 'ABT', 'FB', 'T', 'CNC', 'LUV', 'BSX', 'MS', 'EBAY', 'IBM', 'FDX', 'BX', 'PNC', 'CAT', 'INTC', 'JPM', 'IP', 'CE', 'BLK', 'XOM', 'CMCSA', 'WFC', 'PM', 'COO', 'ORCL', 'ABC', 'DD', 'MSFT', 'NTRS', 'AXP', 'F', 'PSA', 'GOOG', 'SO', 'MA', 'AAL', 'WMT', 'USB', 'POOL', 'UAL', 'CME', 'V', 'VZ', 'CVS', 'HD', 'ADP', 'DIS', 'ICE', 'KO', 'MAR', 'PG', 'UPS', 'CMS', 'SBUX', 'IT']"
2019-02-03,"['PCG', 'LEA', 'CBOE', 'MO', 'BAC', 'NFLX', 'GE', 'C', 'GM', 'GS', 'CAR', 'FB', 'DD', 'AMD', 'QCOM', 'EBAY', 'IP', 'TSLA', 'IBM', 'MGM', 'PFE', 'EA', 'CRM', 'AAL', 'RF', 'UNH', 'AAPL', 'CAT', 'USB', 'UAL', 'COO', 'MCD', 'MSCI', 'PG', 'AMZN', 'CNC', 'LLY', 'LNG', 'TSN', 'VZ', 'MSFT', 'JNJ', 'UPS', 'DAL', 'CME', 'T', 'BSX', 'ICE', 'BX', 'NTRS', 'ET', 'SBUX', 'INTC', 'XOM', 'CI', 'AIG', 'WMT', 'CE', 'DE', 'POOL', 'WFC', 'MA', 'CVS', 'ABC', 'MAR', 'FE', 'ADP', 'FDX', 'MS', 'DUK', 'HD', 'GOOG', 'V', 'JPM', 'CMS', 'CVX', 'CMCSA', 'DIS', 'PSA', 'BMY', 'KR', 'IT', 'DFS', 'BLK', 'ABT']"
2019-02-10,"['TSLA', 'AMD', 'GS', 'C', 'GE', 'BAC', 'FB', 'KKR', 'BK', 'ET', 'CI', 'F', 'VZ', 'TSN', 'AAL', 'MSCI', 'EA', 'LEA', 'UAL', 'USB', 'OKE', 'T', 'IBM', 'JPM', 'PM', 'NKE', 'PNC', 'GOOG', 'CE', 'ABC', 'CSCO', 'AAPL', 'ICE', 'WFC', 'NTRS', 'MS', 'MGM', 'NDAQ', 'RF', 'GM', 'FDX', 'PG', 'ADP', 'BMY', 'CME', 'MA', 'DIS', 'COO', 'AMZN', 'MAR', 'DAL', 'CRM', 'LLY', 'NFLX', 'MSFT', 'CVX', 'IT', 'PFE', 'WMT', 'DUK', 'LNG', 'CMCSA', 'CVS', 'FE', 'KO', 'INTC', 'PSA', 'MO', 'HD', 'HON', 'SO', 'CMS', 'IP']"
