date,ranking
2019-02-17,"['PCG', 'MO', 'CAR', 'KO', 'CI', 'FB', 'NOW', 'LEA', 'EBAY', 'EA', 'PFE', 'CVS', 'PM', 'IBM', 'MS', 'LUV', 'AAPL', 'AMD', 'JPM', 'AIG', 'GS', 'AAL', 'DE', 'VZ', 'MCD', 'XOM', 'DFS', 'UAL', 'GE', 'UPS', 'BAC', 'DUK', 'T', 'BMY', 'BLK', 'AMZN', 'RF', 'ICE', 'CE', 'WFC', 'CNC', 'F', 'WMT', 'C', 'NTRS', 'MGM', 'CSCO', 'TSLA', 'CMS', 'IP', 'CME', 'COO', 'V', 'SBUX', 'LNG', 'MA', 'CRM', 'MAR', 'ET', 'WY', 'MSCI', 'USB', 'IT', 'NKE', 'ABC', 'JNJ', 'MSFT', 'NDAQ', 'HD', 'PG', 'CVX', 'BSX', 'GD', 'OKE', 'NFLX', 'GIS', 'FE', 'GOOG', 'ORCL', 'AXP', 'FDX', 'GM', 'DIS']"
2019-02-24,"['PCG', 'EA', 'CAR', 'CVS', 'NOW', 'DD', 'MO', 'GE', 'FB', 'LUV', 'MSFT', 'CAT', 'PM', 'KR', 'WMT', 'TSLA', 'MAR', 'MCD', 'IT', 'DE', 'INTC', 'XOM', 'GS', 'ABC', 'NTRS', 'AAPL', 'KO', 'MA', 'CME', 'AMZN', 'MS', 'DAL', 'LLY', 'NKE', 'MGM', 'MSCI', 'ET', 'PSA', 'LEA', 'T', 'RF', 'PG', 'BMY', 'WFC', 'AAL', 'UAL', 'CRM', 'FE', 'OKE', 'COO', 'PNC', 'ORCL', 'ICE', 'UNH', 'F', 'HD', 'GIS', 'CNC', 'IBM', 'CMS', 'CSCO', 'NFLX', 'IP', 'FDX', 'ABT', 'GOOG', 'CMCSA', 'JPM', 'C', 'GM', 'USB', 'DIS', 'BSX']"
2019-03-03,"['PCG', 'CAR', 'CI', 'MAR', 'LEA', 'GE', 'ET', 'CE', 'CVS', 'PM', 'PG', 'DD', 'F', 'CAT', 'EA', 'MGM', 'PSA', 'COO', 'MSCI', 'T', 'HD', 'CME', 'JPM', 'DAL', 'TSLA', 'IBM', 'C', 'KKR', 'OKE', 'LNG', 'AMZN', 'KR', 'WFC', 'ICE', 'ABC', 'EBAY', 'GS', 'MS', 'SO', 'LLY', 'NFLX', 'ADP', 'XOM', 'INTC', 'FE', 'LUV', 'WMT', 'MSFT', 'ABBV', 'VZ', 'GM', 'GIS', 'BLK', 'GOOG', 'DE', 'CSCO', 'POOL', 'IP', 'BMY', 'QCOM', 'RF', 'FB', 'DIS', 'AAPL', 'BSX', 'JNJ', 'DUK', 'CMS', 'PNC', 'PFE', 'CMCSA', 'NTRS', 'CVX', 'UPS', 'USB', 'MO', 'NDAQ', 'BAC', 'TGT', 'AXP', 'MA', 'CRM', 'IT', 'V']"
2019-03-10,"['KR', 'CVS', 'CI', 'PCG', 'NDAQ', 'AAL', 'EA', 'ABC', 'GE', 'LEA', 'AMD', 'MSCI', 'CME', 'IBM', 'CRM', 'ICE', 'UAL', 'INTC', 'MAR', 'POOL', 'ET', 'RF', 'FB', 'DFS', 'CE', 'MCD', 'F', 'MGM', 'DE', 'HD', 'IT', 'C', 'PM', 'CSCO', 'TSLA', 'AMZN', 'ABT', 'BMY', 'XOM', 'LLY', 'NTRS', 'QCOM', 'T', 'HON', 'CMCSA', 'MSFT', 'MS', 'JPM', 'GIS', 'COO', 'BAC', 'MO', 'WMT', 'MA', 'GM', 'NFLX', 'BSX', 'GS', 'TGT', 'LNG', 'AAPL', 'CVX', 'AXP', 'WFC', 'DAL', 'IP', 'GOOG', 'PSA', 'USB', 'VZ', 'ORCL', 'FE', 'CMS', 'DIS', 'PG']"
2019-03-17,"['CVS', 'PCG', 'EA', 'CI', 'KR', 'LUV', 'CNC', 'UNH', 'KKR', 'ABC', 'AMD', 'TSLA', 'AAPL', 'ABBV', 'PSA', 'MAR', 'CMCSA', 'NTRS', 'QCOM', 'CBOE', 'AMZN', 'COO', 'CRM', 'BX', 'DE', 'ADP', 'AIG', 'BK', 'LEA', 'GD', 'PG', 'C', 'AAL', 'GE', 'PM', 'POOL', 'FB', 'MGM', 'BMY', 'GS', 'NFLX', 'MSFT', 'ICE', 'MS', 'AXP', 'UAL', 'MO', 'WY', 'CAT', 'HD', 'BLK', 'GOOG', 'MCD', 'CE', 'JPM', 'BSX', 'PFE', 'V', 'TSN', 'ET', 'MA', 'NOW', 'RF', 'VZ', 'UPS', 'CSCO', 'DAL', 'FE', 'EBAY', 'GM', 'GIS', 'IBM', 'INTC', 'WFC', 'OKE', 'T', 'LNG', 'USB', 'CME', 'LLY', 'F', 'WMT', 'MSCI', 'DIS', 'BAC', 'CMS', 'IP', 'ABT', 'IT', 'XOM', 'NKE', 'JNJ', 'TGT', 'DD', 'ORCL', 'CVX']"
2019-03-24,"['RF', 'KEY', 'AMD', 'CI', 'UNH', 'LEA', 'KR', 'CVS', 'DAL', 'KKR', 'AAL', 'NTRS', 'JPM', 'USB', 'BSX', 'BMY', 'C', 'DIS', 'LNG', 'COO', 'GIS', 'UAL', 'HD', 'TSLA', 'NKE', 'MSCI', 'LUV', 'GM', 'CAR', 'ABC', 'MS', 'CME', 'DD', 'BLK', 'GS', 'T', 'GE', 'WFC', 'FB', 'AIG', 'PSA', 'QCOM', 'MGM', 'PG', 'MAR', 'GD', 'CE', 'CMCSA', 'V', 'AAPL', 'CAT', 'DE', 'ABT', 'BX', 'IP', 'CSCO', 'FDX', 'MO', 'ICE', 'OKE', 'FE', 'CBOE', 'GOOG', 'ET', 'WMT', 'TGT', 'INTC', 'CVX', 'NFLX', 'POOL', 'EA', 'CRM', 'AMZN', 'XOM', 'PFE', 'CMS', 'MSFT', 'JNJ', 'PM', 'MA', 'MCD', 'IT', 'ORCL', 'KO', 'VZ', 'IBM', 'SBUX']"
2019-03-31,"['KR', 'AMD', 'CVS', 'CNC', 'NDAQ', 'PCG', 'RF', 'ABC', 'KEY', 'LEA', 'GE', 'ICE', 'CAR', 'TSLA', 'LUV', 'CME', 'FDX', 'CRM', 'CAT', 'AAPL', 'BLK', 'CBOE', 'AMZN', 'BSX', 'MSCI', 'BMY', 'UNH', 'C', 'DE', 'BAC', 'NKE', 'GM', 'PG', 'POOL', 'GOOG', 'NFLX', 'MCD', 'NTRS', 'GIS', 'PSA', 'IBM', 'MAR', 'T', 'MSFT', 'IP', 'DIS', 'USB', 'PNC', 'FB', 'VZ', 'MS', 'IT', 'TGT', 'HD', 'MA', 'ABT', 'MO', 'GS', 'DAL', 'WFC', 'JPM', 'WY', 'LLY', 'LNG', 'GD', 'DD', 'CMCSA', 'INTC', 'COO', 'WMT', 'ET', 'CMS', 'JNJ', 'CSCO', 'FE', 'OKE']"
2019-04-07,"['AMD', 'LEA', 'PCG', 'DAL', 'RF', 'COO', 'MS', 'CE', 'C', 'NTRS', 'BAC', 'AAPL', 'TSLA', 'MAR', 'JPM', 'LLY', 'AMZN', 'FB', 'USB', 'MO', 'MSCI', 'ABC', 'GM', 'AIG', 'BMY', 'BX', 'CMCSA', 'DD', 'F', 'GS', 'FE', 'CVS', 'HD', 'ADP', 'QCOM', 'NOW', 'PG', 'MSFT', 'GOOG', 'CME', 'LUV', 'T', 'DIS', 'CVX', 'IT', 'ABT', 'CRM', 'INTC', 'NFLX', 'EA', 'LNG', 'ICE', 'WY', 'CI', 'WFC', 'MA', 'NKE', 'IBM', 'GE', 'DE', 'POOL', 'PSA', 'VZ', 'UPS', 'CMS', 'NDAQ', 'CAR', 'WMT', 'XOM', 'EBAY', 'SO', 'IP', 'OKE', 'ET']"
2019-04-14,"['RF', 'PCG', 'LEA', 'AMD', 'PNC', 'UNH', 'DIS', 'BAC', 'FOX', 'NTRS', 'JPM', 'C', 'BSX', 'USB', 'DAL', 'GE', 'LUV', 'GS', 'WFC', 'NKE', 'CVX', 'TSLA', 'MS', 'AAL', 'CAR', 'CNC', 'GM', 'BLK', 'BK', 'DFS', 'PG', 'CE', 'POOL', 'AIG', 'ICE', 'CAT', 'BMY', 'UAL', 'EBAY', 'GIS', 'MSCI', 'F', 'CME', 'ABC', 'IP', 'DE', 'HD', 'UPS', 'NFLX', 'PFE', 'FB', 'ABT', 'MAR', 'EA', 'DD', 'CMCSA', 'NDAQ', 'LNG', 'CI', 'MO', 'MGM', 'AMZN', 'IT', 'INTC', 'ORCL', 'FE', 'CSCO', 'V', 'NOW', 'CVS', 'ET', 'XOM', 'ADP', 'AAPL', 'QCOM', 'SBUX', 'PM', 'T', 'MSFT', 'GOOG', 'CRM', 'TGT', 'VZ', 'PSA', 'CMS', 'JNJ', 'COO', 'DUK', 'IBM', 'WMT', 'KO', 'MCD', 'MA']"
2019-04-21,"['QCOM', 'PCG', 'CNC', 'BK', 'DIS', 'CI', 'LEA', 'COO', 'DAL', 'RF', 'IP', 'AMD', 'GE', 'AAL', 'LLY', 'FOX', 'MS', 'BX', 'IT', 'PNC', 'GS', 'JPM', 'TSLA', 'BAC', 'ABT', 'LUV', 'UNH', 'CVS', 'GOOG', 'ABC', 'NTRS', 'MO', 'FB', 'AIG', 'CRM', 'PSA', 'MGM', 'ABBV', 'IBM', 'PM', 'AAPL', 'ICE', 'NDAQ', 'FE', 'PG', 'CSCO', 'LNG', 'GM', 'DE', 'CE', 'UPS', 'C', 'ET', 'INTC', 'BMY', 'WFC', 'ADP', 'BLK', 'T', 'NFLX', 'VZ', 'WMT', 'SBUX', 'DUK', 'NKE', 'GD', 'SO', 'HON', 'KO', 'JNJ', 'AMZN', 'KKR', 'USB', 'CMCSA', 'CVX', 'EBAY', 'GIS', 'MA', 'MSFT', 'MCD', 'XOM', 'CME', 'AXP']"
