date,ranking
2018-12-09,"['PCG', 'TGT', 'MO', 'GS', 'CAR', 'KKR', 'AAPL', 'AIG', 'BAC', 'GE', 'C', 'ET', 'NFLX', 'COO', 'RF', 'MS', 'WMT', 'AMZN', 'FDX', 'JPM', 'NTRS', 'CVS', 'AMD', 'GIS', 'DAL', 'FB', 'DD', 'MSFT', 'V', 'MA', 'ADP', 'QCOM', 'WFC', 'OKE', 'EA', 'T', 'LNG', 'HD', 'LEA', 'KR', 'DIS', 'WY', 'TSLA', 'GM', 'INTC', 'MAR', 'ABT', 'CNC', 'ABC', 'CME', 'NDAQ', 'UAL', 'FE', 'UNH', 'GOOG', 'CSCO', 'PG', 'IT', 'UPS', 'IBM', 'VZ', 'CAT', 'PFE', 'BLK', 'CRM', 'DE', 'PM', 'JNJ', 'ICE', 'ABBV', 'AXP', 'BMY', 'CMCSA', 'CMS', 'CVX', 'DUK', 'IP', 'LUV', 'ORCL', 'SO', 'USB', 'MSCI', 'POOL']"
2018-12-16,"['AAPL', 'C', 'GS', 'FDX', 'RF', 'DD', 'BAC', 'JNJ', 'MS', 'WFC', 'GE', 'CBOE', 'MAR', 'MA', 'OKE', 'ABC', 'MO', 'ET', 'CSCO', 'VZ', 'AMZN', 'ICE', 'FE', 'XOM', 'NTRS', 'TSLA', 'BSX', 'GOOG', 'AMD', 'CAT', 'ABT', 'CME', 'WMT', 'MSCI', 'USB', 'AAL', 'CRM', 'DIS', 'JPM', 'POOL', 'CNC', 'INTC', 'FB', 'MSFT', 'IBM', 'GIS', 'UNH', 'UPS', 'F', 'PG', 'PSA', 'EA', 'BLK', 'IT', 'LNG', 'DE', 'GM', 'PFE', 'AIG', 'LEA', 'NOW', 'DAL', 'PCG', 'IP', 'COO', 'HD', 'NDAQ', 'NKE', 'T', 'BK', 'QCOM']"
2018-12-23,"['FDX', 'PM', 'WY', 'MAR', 'GS', 'ET', 'ABC', 'CNC', 'C', 'GD', 'LEA', 'AAPL', 'MS', 'MGM', 'WFC', 'USB', 'CI', 'CE', 'MO', 'BAC', 'UPS', 'NTRS', 'OKE', 'GE', 'F', 'CRM', 'CAT', 'RF', 'MSCI', 'ORCL', 'GM', 'GOOG', 'NDAQ', 'JNJ', 'AXP', 'IP', 'CVS', 'CBOE', 'ICE', 'VZ', 'FE', 'GIS', 'CAR', 'XOM', 'CME', 'DAL', 'NKE', 'CVX', 'BMY', 'BLK', 'AMD', 'DIS', 'FB', 'UAL', 'DUK', 'IT', 'POOL', 'KKR', 'PG', 'MSFT', 'CMS', 'CSCO', 'UNH', 'QCOM', 'NFLX', 'ABT', 'AMZN', 'CMCSA', 'COO', 'DE', 'HD', 'IBM', 'INTC', 'JPM', 'LUV', 'MA', 'PSA', 'TGT', 'WMT', 'PFE']"
2018-12-30,"['FDX', 'C', 'DAL', 'WFC', 'JPM', 'UPS', 'GS', 'NFLX', 'MS', 'AAPL', 'XOM', 'BSX', 'VZ', 'KKR', 'IBM', 'T', 'IT', 'ICE', 'AMZN', 'TGT', 'MA', 'ET', 'ORCL', 'MAR', 'WMT', 'DIS', 'GOOG', 'FB', 'GE', 'TSLA', 'ABT', 'CME']"
2019-01-06,"['JNJ', 'DAL', 'WFC', 'AAPL', 'ABC', 'BX', 'C', 'TSLA', 'KKR', 'AAL', 'GE', 'MAR', 'XOM', 'AMD', 'CVS', 'IBM', 'UNH', 'UAL', 'FE', 'GS', 'ICE', 'CMS', 'FB', 'MS', 'T', 'CVX', 'PCG', 'AMZN', 'SO', 'GM', 'JPM', 'BSX', 'VZ', 'MSFT', 'MSCI', 'KO', 'PG', 'CME', 'BLK', 'ET', 'CSCO', 'LNG', 'NFLX', 'PFE', 'GOOG', 'AXP', 'BAC', 'CAT', 'COO', 'CRM', 'GIS', 'HD', 'INTC', 'MA', 'MCD', 'MO', 'NKE', 'V', 'WMT', 'DIS']"
2019-01-13,"['PCG', 'AXP', 'UAL', 'CVS', 'DAL', 'CBOE', 'AAPL', 'GD', 'TSLA', 'NDAQ', 'FB', 'AMZN', 'LUV', 'ET', 'MGM', 'AMD', 'MSFT', 'BK', 'ICE', 'OKE', 'USB', 'GE', 'IT', 'PG', 'MO', 'ABC', 'MA', 'MSCI', 'JPM', 'SBUX', 'C', 'GS', 'DIS', 'FE', 'AAL', 'NTRS', 'TGT', 'GOOG', 'BMY', 'IBM', 'UNH', 'BSX', 'IP', 'MAR', 'CME', 'PNC', 'CRM', 'BLK', 'INTC', 'ADP', 'MS', 'BAC', 'T', 'NFLX', 'VZ', 'F', 'WFC', 'ORCL', 'LNG', 'WMT', 'CE', 'LLY', 'ABT', 'JNJ', 'DE', 'COO', 'ABBV', 'CMS', 'GM', 'HD', 'KKR', 'LEA', 'RF', 'NKE']"
2019-01-20,"['PCG', 'GE', 'NFLX', 'MGM', 'CRM', 'AMD', 'LEA', 'NOW', 'AMZN', 'EBAY', 'FB', 'TGT', 'MSCI', 'RF', 'DFS', 'EA', 'AIG', 'KKR', 'GM', 'C', 'MA', 'BAC', 'LNG', 'GOOG', 'BSX', 'HD', 'IP', 'NKE', 'NTRS', 'MS', 'GS', 'TSLA', 'QCOM', 'PM', 'AAL', 'ORCL', 'TSN', 'CVX', 'AAPL', 'USB', 'WY', 'DAL', 'CAR', 'F', 'COO', 'DD', 'WMT', 'DE', 'PG', 'CME', 'CMS', 'SO', 'T', 'BK', 'LUV', 'INTC', 'BLK', 'PNC', 'UAL', 'ICE', 'CNC', 'BMY', 'POOL', 'NDAQ', 'LLY', 'VZ', 'IBM', 'ABC', 'IT', 'MO', 'DIS', 'MSFT', 'CI', 'CVS', 'MAR', 'UNH', 'CMCSA', 'WFC', 'ET', 'FE', 'FDX', 'JPM', 'OKE']"
2019-01-27,"['PCG', 'NFLX', 'GE', 'GS', 'C', 'TSLA', 'LEA', 'AMD', 'BAC', 'OKE', 'BMY', 'AMZN', 'RF', 'DAL', 'IP', 'T', 'IBM', 'LUV', 'GM', 'CRM', 'FDX', 'CNC', 'ABT', 'F', 'ORCL', 'GIS', 'XOM', 'AAPL', 'UAL', 'BX', 'FB', 'WFC', 'MO', 'EBAY', 'PNC', 'DIS', 'INTC', 'DD', 'USB', 'JPM', 'ET', 'ICE', 'PSA', 'KO', 'WMT', 'CME', 'AXP', 'ADP', 'GOOG', 'MAR', 'MSFT', 'HD', 'CAT', 'BLK', 'BSX', 'CE', 'CVS', 'IT', 'PM', 'SBUX', 'CMS', 'COO', 'MA', 'ABC', 'UPS', 'NTRS', 'MS', 'V', 'CMCSA', 'SO', 'PG', 'POOL', 'VZ', 'AAL', 'MSCI']"
2019-02-03,"['PCG', 'LEA', 'NFLX', 'GM', 'CBOE', 'GE', 'AMD', 'C', 'TSN', 'QCOM', 'CAR', 'CNC', 'MGM', 'CRM', 'EBAY', 'DD', 'MSCI', 'DE', 'FB', 'CME', 'BAC', 'ABC', 'BSX', 'RF', 'TSLA', 'ICE', 'JNJ', 'FDX', 'DIS', 'IBM', 'DAL', 'MO', 'EA', 'UAL', 'COO', 'MAR', 'WFC', 'AAPL', 'UNH', 'MCD', 'WMT', 'VZ', 'MS', 'T', 'USB', 'PSA', 'MSFT', 'INTC', 'CAT', 'SBUX', 'GOOG', 'IP', 'DUK', 'AIG', 'CI', 'ABT', 'BMY', 'CMS', 'CVS', 'HD', 'IT', 'JPM', 'KR', 'LLY', 'LNG', 'NTRS', 'PFE', 'UPS', 'V', 'BLK', 'CMCSA', 'MA', 'AMZN', 'DFS', 'ADP', 'XOM', 'CVX', 'PG', 'FE', 'CE', 'BX', 'GS', 'POOL', 'AAL', 'ET']"
2019-02-10,"['TSLA', 'AAL', 'C', 'GS', 'CI', 'AMD', 'BK', 'ADP', 'FB', 'VZ', 'ET', 'KKR', 'F', 'BMY', 'AAPL', 'MSCI', 'PFE', 'BAC', 'CMCSA', 'WFC', 'T', 'CE', 'GE', 'MS', 'PM', 'AMZN', 'WMT', 'NKE', 'LLY', 'NFLX', 'UAL', 'MAR', 'DUK', 'NDAQ', 'GM', 'DIS', 'ABC', 'CVS', 'CMS', 'COO', 'CRM', 'CSCO', 'DAL', 'HD', 'IBM', 'INTC', 'JPM', 'LEA', 'LNG', 'MA', 'MGM', 'MO', 'PG', 'PNC', 'PSA', 'RF', 'SO', 'TSN', 'USB', 'NTRS', 'IP', 'CME', 'GOOG', 'MSFT', 'IT', 'ICE', 'HON', 'KO', 'EA', 'FE', 'CVX', 'OKE', 'FDX']"
