year,week,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012,21,24.0,16.0,6.0,27.0,28.0,19.0,29.0,22.0,15.0,18.0,21.0,3.0,23.0,4.0,7.0,2.0,9.0,20.0,1.0,30.0,12.0,14.0,17.0,11.0,8.0,26.0,31.0,5.0,25.0,10.0,13.0
2012,22,25.0,10.0,15.0,27.0,28.0,16.0,29.0,11.0,21.0,5.0,14.0,22.0,2.0,24.0,7.0,8.0,17.0,12.0,18.0,30.0,3.0,1.0,4.0,20.0,9.0,26.0,31.0,23.0,13.0,19.0,6.0
2012,23,26.0,8.0,20.0,27.0,28.0,13.0,29.0,19.0,2.0,12.0,5.0,14.0,24.0,7.0,16.0,22.0,9.0,6.0,18.0,30.0,10.0,23.0,3.0,11.0,1.0,25.0,31.0,4.0,17.0,15.0,21.0
2012,24,19.0,16.0,3.0,27.0,28.0,18.0,29.0,11.0,20.0,14.0,10.0,24.0,2.0,7.0,15.0,22.0,21.0,6.0,4.0,30.0,8.0,1.0,13.0,12.0,9.0,25.0,31.0,26.0,5.0,23.0,17.0
2012,25,5.0,19.0,9.0,27.0,28.0,2.0,29.0,16.0,12.0,8.0,23.0,18.0,4.0,6.0,22.0,24.0,7.0,13.0,25.0,30.0,20.0,26.0,14.0,17.0,10.0,21.0,31.0,3.0,1.0,15.0,11.0
2012,26,10.0,11.0,12.0,27.0,28.0,21.0,29.0,4.0,5.0,14.0,8.0,9.0,25.0,24.0,7.0,20.0,13.0,1.0,18.0,30.0,17.0,19.0,15.0,23.0,3.0,2.0,31.0,16.0,22.0,26.0,6.0
2012,27,14.0,9.0,15.0,27.0,28.0,8.0,29.0,2.0,1.0,11.0,17.0,6.0,4.0,7.0,20.0,22.0,12.0,18.0,5.0,30.0,16.0,24.0,10.0,19.0,21.0,23.0,31.0,26.0,13.0,25.0,3.0
2012,28,22.0,5.0,21.0,27.0,28.0,11.0,29.0,19.0,3.0,6.0,14.0,1.0,24.0,13.0,7.0,15.0,17.0,20.0,8.0,30.0,4.0,25.0,2.0,10.0,16.0,18.0,31.0,9.0,23.0,26.0,12.0
2012,29,22.0,6.0,14.0,27.0,28.0,24.0,29.0,16.0,25.0,13.0,5.0,12.0,15.0,3.0,9.0,2.0,20.0,23.0,4.0,30.0,7.0,26.0,18.0,19.0,10.0,1.0,31.0,8.0,17.0,21.0,11.0
2012,30,12.0,19.0,20.0,27.0,28.0,24.0,29.0,23.0,6.0,22.0,8.0,15.0,16.0,11.0,7.0,10.0,13.0,14.0,4.0,30.0,17.0,25.0,9.0,21.0,3.0,26.0,31.0,1.0,2.0,5.0,18.0
2012,31,18.0,11.0,20.0,27.0,28.0,22.0,29.0,5.0,8.0,12.0,26.0,13.0,24.0,1.0,6.0,7.0,14.0,2.0,4.0,30.0,16.0,9.0,3.0,19.0,10.0,23.0,31.0,17.0,15.0,25.0,21.0
2012,32,4.0,24.0,10.0,27.0,28.0,18.0,29.0,5.0,9.0,13.0,23.0,14.0,21.0,7.0,16.0,8.0,25.0,11.0,6.0,30.0,20.0,2.0,19.0,17.0,26.0,3.0,31.0,15.0,22.0,1.0,12.0
2012,33,23.0,25.0,4.0,27.0,28.0,8.0,29.0,20.0,7.0,18.0,5.0,11.0,22.0,2.0,9.0,13.0,15.0,21.0,16.0,30.0,24.0,14.0,26.0,6.0,17.0,12.0,31.0,10.0,19.0,3.0,1.0
2012,34,1.0,6.0,8.0,27.0,28.0,19.0,29.0,24.0,25.0,15.0,7.0,20.0,23.0,17.0,10.0,4.0,3.0,11.0,13.0,30.0,14.0,9.0,26.0,2.0,21.0,22.0,31.0,16.0,18.0,5.0,12.0
2012,35,2.0,10.0,17.0,27.0,28.0,18.0,29.0,24.0,9.0,22.0,12.0,7.0,23.0,6.0,19.0,8.0,16.0,15.0,5.0,30.0,20.0,26.0,3.0,14.0,13.0,11.0,31.0,21.0,4.0,1.0,25.0
2012,36,24.0,26.0,18.0,27.0,28.0,5.0,29.0,4.0,15.0,25.0,16.0,8.0,12.0,23.0,20.0,22.0,19.0,9.0,11.0,30.0,21.0,3.0,6.0,7.0,10.0,1.0,31.0,2.0,17.0,13.0,14.0
2012,37,5.0,22.0,20.0,27.0,28.0,12.0,29.0,7.0,26.0,19.0,25.0,17.0,2.0,23.0,9.0,24.0,18.0,14.0,10.0,30.0,13.0,4.0,11.0,8.0,15.0,1.0,31.0,6.0,3.0,21.0,16.0
2012,38,10.0,22.0,4.0,27.0,28.0,5.0,29.0,26.0,18.0,8.0,1.0,11.0,12.0,2.0,7.0,15.0,21.0,3.0,20.0,30.0,14.0,17.0,16.0,23.0,6.0,25.0,31.0,24.0,13.0,19.0,9.0
2012,39,10.0,11.0,7.0,27.0,28.0,19.0,29.0,24.0,25.0,5.0,13.0,20.0,16.0,14.0,8.0,18.0,21.0,12.0,17.0,30.0,6.0,1.0,3.0,22.0,9.0,4.0,31.0,26.0,2.0,23.0,15.0
2012,40,15.0,23.0,14.0,27.0,28.0,2.0,29.0,10.0,5.0,21.0,20.0,17.0,26.0,7.0,18.0,3.0,12.0,22.0,19.0,30.0,16.0,24.0,9.0,11.0,4.0,25.0,31.0,6.0,1.0,8.0,13.0
2012,41,3.0,6.0,23.0,27.0,28.0,22.0,29.0,13.0,7.0,8.0,18.0,16.0,26.0,20.0,15.0,11.0,5.0,21.0,17.0,30.0,12.0,25.0,14.0,24.0,4.0,1.0,31.0,10.0,2.0,19.0,9.0
2012,42,14.0,15.0,5.0,27.0,28.0,1.0,29.0,3.0,25.0,22.0,19.0,8.0,2.0,18.0,6.0,17.0,21.0,24.0,9.0,30.0,16.0,26.0,23.0,11.0,7.0,13.0,31.0,4.0,10.0,20.0,12.0
2012,43,1.0,2.0,9.0,27.0,28.0,17.0,29.0,14.0,23.0,4.0,6.0,24.0,16.0,13.0,12.0,19.0,15.0,8.0,25.0,30.0,10.0,7.0,3.0,11.0,26.0,22.0,31.0,21.0,18.0,20.0,5.0
2012,44,13.0,7.0,16.0,27.0,28.0,17.0,29.0,6.0,15.0,24.0,11.0,12.0,20.0,22.0,3.0,4.0,14.0,2.0,26.0,30.0,18.0,10.0,19.0,21.0,23.0,5.0,31.0,9.0,25.0,1.0,8.0
2012,45,15.0,16.0,9.0,27.0,28.0,6.0,29.0,18.0,10.0,11.0,1.0,19.0,26.0,21.0,13.0,20.0,12.0,2.0,17.0,30.0,23.0,25.0,5.0,22.0,3.0,14.0,31.0,24.0,4.0,7.0,8.0
