Date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PNW,RMBS,SEB,SF,SIX,SM,TRN,VAC,VC,WIRE,PCI,TCO
2012-01-03,5.827014446258545,28.0001163482666,95.65789031982422,,,13.086731910705566,,10.505392074584961,18.203128814697266,14.382894515991211,54.43388748168945,18.974266052246094,5.119999885559082,13.503351211547852,16.21703338623047,22.680295944213867,28.89645004272461,35.34000015258789,56.07828903198242,32.48349380493164,8.109999656677246,2105.588623046875,21.267398834228516,13.567106246948242,73.16109466552734,8.78300952911377,16.020692825317383,29.547719955444336,25.60552215576172,,
2012-01-04,6.108617305755615,27.712968826293945,93.96365356445312,,,13.285148620605469,,10.913222312927246,17.926774978637695,14.083084106445312,53.781776428222656,19.077091217041016,5.199999809265137,13.743569374084473,16.357200622558594,22.65947151184082,28.527801513671875,34.974998474121094,56.13367462158203,32.26615905761719,7.849999904632568,1989.52294921875,20.73428726196289,13.53758716583252,74.78179168701172,8.661942481994629,15.758356094360352,29.83734703063965,25.35025405883789,,
2012-01-05,6.411883354187012,27.906631469726562,95.45307922363281,,,13.404199600219727,,10.89056396484375,18.046924591064453,14.019972801208496,53.740596771240234,19.567462921142578,5.190000057220459,13.29952335357666,16.21002197265625,23.54086685180664,29.134653091430664,34.75,55.98333740234375,32.28654861450195,8.079999923706055,1948.19775390625,20.988149642944336,13.4260835647583,75.46267700195312,8.670591354370117,16.183521270751953,29.854724884033203,25.369882583618164,,
2012-01-06,6.446539402008057,27.793100357055664,95.45307922363281,,,13.373334884643555,,11.321050643920898,17.848674774169922,14.075196266174316,53.01297378540039,19.7414608001709,5.150000095367432,13.102978706359863,15.950722694396973,23.985044479370117,29.31047821044922,34.91999816894531,56.03081130981445,32.184661865234375,7.989999771118164,1880.512451171875,21.096044540405273,13.399852752685547,74.93524932861328,8.558176040649414,15.921181678771973,30.41659927368164,25.232437133789062,,
2012-01-09,6.416214942932129,27.672895431518555,96.98905181884766,,,13.43065071105957,,11.049166679382324,17.722517013549805,14.067304611206055,53.58271408081055,19.796833038330078,5.119999885559082,13.146658897399902,15.775513648986816,23.91563606262207,29.106298446655273,35.02000045776367,56.61637496948242,32.02168273925781,8.020000457763672,1888.177490234375,21.115081787109375,13.4260835647583,74.86809539794922,8.68500804901123,16.337303161621094,30.15593719482422,25.320798873901367,,
2012-01-10,6.507193565368652,28.0468692779541,97.70581817626953,,,13.884812355041504,,11.147347450256348,18.25718879699707,14.05152702331543,53.6788215637207,19.765195846557617,5.25,13.204889297485352,15.705429077148438,24.20017433166504,29.571372985839844,35.040000915527344,58.46797180175781,32.469913482666016,8.289999961853027,1889.1614990234375,21.540300369262695,13.616292953491211,77.61080169677734,8.961726188659668,16.54537010192871,31.059572219848633,25.526981353759766,,
2012-01-11,6.372889995574951,28.05353546142578,99.32555389404297,,,13.836308479309082,,10.482736587524414,18.31727409362793,14.201428413391113,53.4728889465332,19.625864028930664,5.110000133514404,13.059306144714355,15.719453811645508,24.17936134338379,30.0307559967041,34.91999816894531,58.27013397216797,32.29332733154297,8.270000457763672,1865.5469970703125,21.191238403320312,13.642525672912598,75.0503158569336,9.123615264892578,16.744384765625,28.898956298828125,25.585887908935547,,
2012-01-12,6.294909954071045,27.606128692626953,99.9678726196289,,,14.118501663208008,,10.195743560791016,18.173093795776367,14.130417823791504,53.48661804199219,19.729372024536133,5.059999942779541,13.204889297485352,15.866623878479004,24.31816291809082,29.58271026611328,34.31999969482422,58.001102447509766,32.368038177490234,8.279999732971191,1832.043701171875,20.9691104888916,13.73107624053955,72.40349578857422,9.26816177368164,16.590600967407227,28.817861557006836,25.919700622558594,,
2012-01-13,6.281909942626953,27.385759353637695,98.70186614990234,,,14.003860473632812,,9.984275817871094,18.323284149169922,14.154088973999023,52.54621124267578,19.673635482788086,4.929999828338623,13.292243957519531,15.761502265930176,23.88787841796875,29.49197006225586,34.040000915527344,57.85076141357422,32.34086608886719,8.0,1823.926513671875,20.620046615600586,13.701559066772461,69.88138580322266,9.195887565612793,16.472997665405273,28.412384033203125,25.57606315612793,,
2012-01-17,6.338232517242432,27.379079818725586,100.75914001464844,,,14.118501663208008,,10.01448917388916,18.377349853515625,14.272433280944824,53.19831085205078,19.657705307006836,4.849999904632568,13.292243957519531,15.950722694396973,24.06832504272461,29.662105560302734,34.5,58.64997100830078,32.36125946044922,8.029999732971191,1869.4825439453125,21.038925170898438,13.694995880126953,70.54308319091797,9.242144584655762,17.1695499420166,28.788898468017578,25.458251953125,,
2012-01-18,6.325234889984131,27.332338333129883,101.90412902832031,,,14.361008644104004,,9.862061500549316,18.629669189453125,14.319775581359863,53.644493103027344,20.03191375732422,4.849999904632568,13.568864822387695,16.364206314086914,24.547182083129883,29.860612869262695,34.70500183105469,59.718196868896484,32.442745208740234,8.390000343322754,1876.5867919921875,21.33721160888672,13.74091625213623,72.42266845703125,9.297070503234863,17.178598403930664,28.644084930419922,25.860790252685547,,
2012-01-19,6.671822547912598,27.63283920288086,102.25787353515625,,,14.532970428466797,,9.671524047851562,18.88800048828125,14.232993125915527,53.85041809082031,20.48573875427246,5.110000133514404,14.100259780883789,16.53940773010254,24.8594913482666,30.189556121826172,35.04999923706055,59.97933578491211,32.252586364746094,8.720000267028809,1875.8291015625,22.898475646972656,13.937681198120117,71.76100158691406,9.438722610473633,17.56757926940918,28.79469108581543,25.80188751220703,,
