Date,AAL,AAPL,ABC,ABT,ADP,AIG,AMD,AMZN,AXP,BAC,BK,BLK,BMY,BSX,BX,C,CAR,CAT,CBOE,CE,CI,CMCSA,CME,CMS,CNC,COO,CRM,CSCO,CVS,CVX,DAL,DD,DE,DFS,DIS,DUK,EA,EBAY,ET,F,FB,FDX,FE,FOX,GD,GE,GIS,GM,GOOG,GS,HD,HON,IBM,ICE,INTC,IP,IT,JNJ,JPM,KEY,KKR,KO,KR,LEA,LLY,LNG,LUV,MA,MAR,MCD,MGM,MO,MS,MSCI,MSFT,NDAQ,NFLX,NKE,NOW,NTRS,OKE,ORCL,PCG,PFE,PG,PM,PNC,POOL,PSA,QCOM,RF,SBUX,SO,T,TGT,TSLA,TSN,UAL,UNH,UPS,USB,V,VZ,WFC,WMT,WY,XOM
2012-01-02,5.279352188110352,12.91750717163086,32.785945892333984,21.67308235168457,37.985801696777344,19.400175094604492,5.429999828338623,182.61000061035156,41.543426513671875,5.321593761444092,16.36201286315918,137.82142639160156,24.98948860168457,5.300000190734863,8.50404167175293,24.403766632080078,11.170000076293945,71.62572479248047,22.568862915039062,37.232215881347656,42.48102951049805,10.18606948852539,30.131118774414062,15.609779357910156,10.59000015258789,69.52182006835938,25.264999389648438,13.786033630371094,32.9222526550293,71.03873443603516,7.390212535858154,32.40742874145508,66.28376770019531,20.004047393798828,35.73317337036133,41.53104782104492,19.520252227783203,12.330658912658691,5.015178203582764,7.805806636810303,,77.6991958618164,26.865509033203125,,52.89204406738281,112.59001159667969,28.169628143310547,17.714723587036133,323.79632568359375,79.22831726074219,34.441162109375,42.394813537597656,120.45116424560547,20.706140518188477,18.672983169555664,19.650264739990234,34.70000076293945,48.55842971801758,26.481874465942383,5.952216625213623,8.4796724319458,25.005048751831055,10.067749977111816,37.319515228271484,30.138500213623047,8.946036338806152,7.927280902862549,32.347938537597656,28.368833541870117,75.34877014160156,10.51509952545166,16.4291934967041,13.004572868347168,30.46356773376465,22.705503463745117,20.692119598388672,12.327142715454102,21.789920806884766,,32.309776306152344,21.539907455444336,23.136245727539062,33.167537689208984,14.109553337097168,48.53255844116211,47.51058578491211,45.39788055419922,27.234867095947266,93.83983612060547,42.28933334350586,3.424809217453003,19.665298461914062,27.963909149169922,12.295478820800781,36.914119720458984,5.381999969482422,17.30735206604004,18.209999084472656,45.0384521484375,54.3560905456543,20.95705223083496,23.435894012451172,23.872055053710938,21.55479621887207,46.66023254394531,12.920536041259766,55.89104461669922
2012-01-09,5.628165245056152,12.838298797607422,32.1147575378418,21.50624656677246,38.03426742553711,20.56220817565918,5.659999847412109,178.4199981689453,42.98567199707031,5.691869258880615,17.162111282348633,143.5457000732422,24.924837112426758,5.519999980926514,8.738043785095215,26.275720596313477,12.5,76.65208435058594,23.13601303100586,38.81941223144531,44.429256439208984,10.470733642578125,30.195499420166016,15.811849594116211,10.967499732971191,70.6077880859375,25.975000381469727,13.986029624938965,33.470157623291016,69.58263397216797,7.860983371734619,34.224483489990234,68.18450164794922,21.82334327697754,34.381202697753906,41.1448860168457,17.902660369873047,12.326632499694824,5.054415225982666,8.025781631469727,,82.1344985961914,26.840042114257812,,55.22300338745117,113.73702239990234,28.785953521728516,18.77358627319336,311.32806396484375,83.9267349243164,34.688297271728516,43.562625885009766,118.22085571289062,20.968994140625,18.59163475036621,19.999576568603516,35.279998779296875,48.88051986694336,27.09492301940918,6.205819606781006,8.903656005859375,24.301300048828125,10.042778015136719,36.31846618652344,30.1838436126709,9.741239547729492,8.225024223327637,31.99917221069336,29.96871566772461,75.16152954101562,11.667696952819824,16.566484451293945,13.601639747619629,30.086223602294922,22.818588256835938,21.005510330200195,13.482856750488281,21.858861923217773,,33.22368621826172,21.93509864807129,23.488487243652344,33.345245361328125,14.286165237426758,48.13031005859375,47.65853500366211,46.777034759521484,28.479639053344727,95.726806640625,42.57548522949219,3.7199175357818604,19.934682846069336,28.4605770111084,12.639985084533691,37.5701904296875,4.558000087738037,16.932586669921875,18.43000030517578,44.970191955566406,54.85912322998047,21.92371940612793,23.442874908447266,24.55478858947754,22.053815841674805,47.08728790283203,13.735708236694336,55.73347091674805
2012-01-16,6.0052642822265625,12.853287696838379,34.06035614013672,21.820960998535156,39.30784225463867,21.13910484313965,6.420000076293945,190.92999267578125,43.22755813598633,6.087975978851318,17.026098251342773,140.660400390625,24.07680320739746,5.980000019073486,9.086196899414062,25.335466384887695,13.34000015258789,79.01568603515625,23.0729923248291,40.03146743774414,44.94552993774414,10.755398750305176,30.88825798034668,15.501534461975098,10.967499732971191,70.13953399658203,28.547500610351562,14.617091178894043,33.96248245239258,70.10736083984375,8.358404159545898,35.68879699707031,70.1013412475586,22.547771453857422,35.195960998535156,41.125587463378906,17.793500900268555,12.853997230529785,5.184392929077148,8.392404556274414,,83.22513580322266,26.432706832885742,,56.68570327758789,115.60855865478516,28.80720329284668,19.322343826293945,291.90087890625,92.22103118896484,35.485557556152344,44.08506774902344,124.39713287353516,21.138227462768555,19.50864028930664,20.615631103515625,36.40999984741211,48.888004302978516,28.181123733520508,6.190901279449463,8.922639846801758,24.700328826904297,9.951216697692871,38.118587493896484,30.085594177246094,10.864463806152344,8.746063232421875,32.148284912109375,31.13957405090332,76.2026138305664,11.941676139831543,16.417755126953125,15.041138648986816,29.89295196533203,23.99788475036621,21.462890625,14.319999694824219,22.628250122070312,,33.93274688720703,21.71527099609375,24.720563888549805,32.60207748413086,14.325418472290039,48.43748474121094,45.932647705078125,45.4437141418457,29.521366119384766,96.35822296142578,43.47157287597656,3.8131096363067627,20.267213821411133,28.47943115234375,12.824943542480469,37.83412551879883,5.320000171661377,16.35340690612793,19.329999923706055,44.603267669677734,55.791175842285156,21.704713821411133,23.405643463134766,24.586339950561523,22.746492385864258,48.249839782714844,14.027817726135254,57.44723892211914
2012-01-23,7.711625576019287,13.67836856842041,33.117286682128906,21.531370162963867,38.3042106628418,20.8094539642334,6.820000171661377,195.3699951171875,43.06344223022461,6.277415752410889,16.185991287231445,144.2534942626953,23.81133460998535,5.929999828338623,8.886436462402344,26.3868408203125,14.600000381469727,83.60629272460938,23.027984619140625,41.45339584350586,44.0103874206543,10.862667083740234,31.01702308654785,15.941753387451172,11.069999694824219,71.86312103271484,29.149999618530273,14.352925300598145,33.684898376464844,68.18561553955078,9.22888469696045,35.76361846923828,70.86647033691406,22.34196662902832,35.14223861694336,40.89389419555664,18.00189971923828,12.821794509887695,5.223631381988525,8.13909912109375,,84.47935485839844,26.897336959838867,,55.39179992675781,114.88407135009766,28.353885650634766,18.83542251586914,288.9071044921875,94.79072570800781,35.77256774902344,44.768863677978516,125.67729187011719,20.96539306640625,19.767475128173828,19.675668716430664,37.95000076293945,49.10520935058594,28.067983627319336,5.974592685699463,8.75178337097168,24.464536666870117,10.113530158996582,36.836551666259766,29.624605178833008,12.633790969848633,8.950757026672363,32.91551208496094,30.89825439453125,73.91820526123047,12.461289405822754,16.0974063873291,15.180185317993164,30.242691040039062,23.610166549682617,22.01343536376953,17.68428611755371,22.706087112426758,,32.82975387573242,21.018760681152344,24.47086524963379,32.98173904418945,14.050681114196777,47.401554107666016,46.51203536987305,45.02455520629883,30.324718475341797,97.55712890625,43.51674270629883,4.123748779296875,20.14093780517578,28.30339241027832,12.257468223571777,37.74364471435547,5.866000175476074,16.0127010345459,23.09000015258789,43.536598205566406,56.249820709228516,21.040128707885742,23.515018463134766,23.4759464263916,22.046371459960938,48.012577056884766,13.905538558959961,56.35725021362305
2012-01-30,9.088027954101562,14.057577133178711,33.32969284057617,21.523542404174805,38.421871185302734,22.39179229736328,7.079999923706055,187.67999267578125,45.136680603027344,6.7510199546813965,17.665803909301758,145.13829040527344,23.789203643798828,6.03000020980835,9.594156265258789,28.669092178344727,14.859999656677246,85.60478973388672,23.892202377319336,42.79169464111328,42.42258834838867,11.200961112976074,35.208335876464844,15.898455619812012,11.569999694824219,75.83082580566406,31.024999618530273,14.74183464050293,34.68124771118164,69.19568634033203,10.037189483642578,36.5331916809082,71.19668579101562,23.231035232543945,35.813751220703125,41.318660736083984,19.09352684020996,13.264618873596191,5.216273784637451,8.559183120727539,,85.92447662353516,27.70564842224121,,55.517799377441406,114.82366180419922,28.226394653320312,20.234359741210938,297.05157470703125,99.67567443847656,36.01174545288086,46.66655731201172,127.77566528320312,22.022212982177734,19.774869918823242,20.228214263916016,38.83000183105469,49.165138244628906,28.875083923339844,6.146146297454834,9.201081275939941,24.69671058654785,9.955376625061035,39.918704986572266,29.858884811401367,12.76301097869873,9.34153938293457,36.83473205566406,32.292572021484375,74.90687561035156,13.576096534729004,16.49783706665039,16.65726661682129,31.466745376586914,24.42599105834961,21.234201431274414,18.06142807006836,23.015178680419922,,34.73635482788086,20.319822311401367,25.06498908996582,33.45025634765625,13.867528915405273,46.273643493652344,47.22706604003906,47.40229415893555,31.03097152709961,100.26703643798828,45.979103088378906,4.380028247833252,20.338762283325195,27.850749969482422,12.589545249938965,39.31975555419922,6.230000019073486,16.5067138671875,24.969999313354492,43.78406524658203,56.7380256652832,22.052106857299805,24.906600952148438,23.873416900634766,22.813522338867188,49.05649185180664,14.469368934631348,55.759735107421875
2012-02-06,8.34326457977295,15.089386940002441,32.794437408447266,21.56658935546875,37.38362503051758,21.971487045288086,7.050000190734863,185.5399932861328,44.756591796875,6.94907283782959,17.247102737426758,146.18463134765625,23.523738861083984,5.929999828338623,9.15468692779541,28.156579971313477,14.949999809265137,83.95941162109375,25.26956558227539,41.81306076049805,42.412845611572266,11.213340759277344,37.54672622680664,15.609779357910156,11.829999923706055,74.14636993408203,32.11000061035156,14.6024169921875,34.41822052001953,69.05140686035156,9.673007011413574,36.34078598022461,70.5121078491211,23.198110580444336,37.111995697021484,41.47312927246094,17.287382125854492,13.29682445526123,5.201078414916992,8.324958801269531,,86.58795928955078,27.489564895629883,,55.352447509765625,113.97856140136719,27.688064575195312,19.708789825439453,301.8236999511719,96.78372192382812,36.13929748535156,45.583251953125,126.97055053710938,24.274486541748047,19.903072357177734,20.228214263916016,37.56999969482422,48.38615798950195,28.36971092224121,5.922380447387695,9.536467552185059,24.645915985107422,9.834680557250977,39.45331573486328,29.707740783691406,13.846476554870605,8.950757026672363,37.38396453857422,31.926109313964844,74.50241088867188,13.821735382080078,16.70949935913086,16.124164581298828,32.06498718261719,24.63599395751953,22.02190589904785,17.704286575317383,23.439903259277344,,34.37395095825195,20.148216247558594,24.53975486755371,33.31293487548828,13.912431716918945,47.09192657470703,49.581634521484375,45.47419357299805,30.315900802612305,97.69189453125,46.48362350463867,4.403326511383057,20.549224853515625,28.34103775024414,12.543309211730957,39.538455963134766,6.21999979019165,16.114919662475586,23.75,45.49925994873047,56.73066329956055,21.90861701965332,26.50529670715332,23.778779983520508,22.63091278076172,48.95368576049805,13.599849700927734,55.024314880371094
2012-02-13,8.390398979187012,15.355439186096191,31.163209915161133,22.055755615234375,37.54975128173828,22.44124412536621,7.420000076293945,182.5,45.66362762451172,6.90601921081543,17.722171783447266,150.94725036621094,24.423385620117188,6.090000152587891,9.114733695983887,28.148027420043945,13.09000015258789,85.6123046875,24.75643539428711,43.435726165771484,43.76686477661133,12.034331321716309,37.854469299316406,15.716992378234863,12.4350004196167,77.95384216308594,32.29249954223633,14.888595581054688,35.28703689575195,69.95653533935547,9.619710922241211,37.40965270996094,67.54823303222656,24.31768226623535,37.38059616088867,40.353271484375,17.336999893188477,14.11403751373291,5.457401275634766,8.532417297363281,,84.51569366455078,27.9600772857666,,55.80911636352539,116.39332580566406,27.156829833984375,21.13091468811035,301.1910705566406,98.30180358886719,37.23950958251953,46.17485046386719,128.12744140625,24.20967674255371,20.402517318725586,21.25074577331543,38.81999969482422,48.67827606201172,29.018409729003906,6.056640625,9.555453300476074,25.048585891723633,9.955376625061035,40.50703048706055,29.66994857788086,13.916056632995605,8.773977279663086,37.37073516845703,31.220016479492188,74.8918685913086,13.850075721740723,16.961200714111328,15.714092254638672,31.383926391601562,25.24180030822754,22.707969665527344,17.407142639160156,23.722312927246094,,34.57090759277344,20.416826248168945,24.789447784423828,34.201499938964844,14.004964828491211,47.851253509521484,50.38291549682617,46.594459533691406,33.28215026855469,98.42255401611328,47.07850646972656,4.659605503082275,20.46549415588379,28.19491958618164,12.614768981933594,39.69682312011719,6.99399995803833,16.174543380737305,23.3700008392334,46.659759521484375,56.78244400024414,22.165390014648438,26.763599395751953,24.26457977294922,23.25165557861328,49.41239547729492,14.027817726135254,56.52706527709961
2012-02-20,6.5897626876831055,15.975935935974121,32.14107894897461,22.188810348510742,37.252113342285156,23.413724899291992,7.460000038146973,179.1300048828125,46.06966018676758,6.785465717315674,17.448400497436523,150.80104064941406,24.03993034362793,6.25,9.120441436767578,27.660661697387695,13.279999732971191,87.15250396728516,24.891468048095703,40.58351516723633,43.92271423339844,12.042581558227539,37.64972686767578,15.819150924682617,12.225000381469727,79.00040435791016,35.90999984741211,14.778526306152344,35.12762451171875,72.09212493896484,8.464991569519043,36.148406982421875,67.06498718261719,24.852771759033203,36.98664474487305,41.21871566772461,16.801115036010742,14.63737678527832,5.479799270629883,8.184426307678223,,82.01634979248047,28.404817581176758,,57.00592803955078,116.15181732177734,27.02225112915039,20.149341583251953,303.8112487792969,98.26789093017578,37.454769134521484,45.53715896606445,131.00244140625,25.158475875854492,19.903072357177734,21.081867218017578,40.349998474121094,48.28129196166992,28.875083923339844,6.011888027191162,9.544014930725098,25.03044319152832,9.845135688781738,41.104148864746094,29.88374900817871,13.965757369995117,8.076149940490723,39.221351623535156,31.041259765625,75.1390380859375,13.226540565490723,17.155691146850586,15.164590835571289,31.68764305114746,25.59498405456543,22.606338500976562,15.95285701751709,23.635587692260742,,34.55515670776367,20.85953140258789,25.185531616210938,33.72489929199219,13.998353958129883,49.178192138671875,51.17189025878906,45.253177642822266,33.50286865234375,97.27332305908203,47.771278381347656,4.504284381866455,20.40212631225586,28.29656410217285,12.753480911254883,41.882083892822266,6.75,16.174543380737305,20.40999984741211,47.48749923706055,57.013648986816406,21.697160720825195,27.4046688079834,24.062686920166016,22.571083068847656,46.49415969848633,14.3063325881958,57.662620544433594
2012-02-27,7.193116664886475,16.672273635864258,31.194751739501953,22.458833694458008,37.6812744140625,24.559274673461914,7.460000038146973,179.3000030517578,45.775943756103516,7.000739097595215,17.955677032470703,152.53213500976562,24.032554626464844,6.0,8.726631164550781,29.1569881439209,12.789999961853027,84.515380859375,24.864463806152344,40.533329010009766,43.05575180053711,12.063210487365723,37.29048538208008,15.62214469909668,11.647500038146973,78.24291229248047,35.9474983215332,14.499680519104004,35.892818450927734,72.44239044189453,8.678173065185547,36.554561614990234,66.26765441894531,25.132659912109375,37.9267578125,41.101505279541016,16.652252197265625,14.593092918395996,5.320531368255615,8.512340545654297,,82.5071029663086,28.66907501220703,,57.20276641845703,115.53473663330078,27.050582885742188,20.443037033081055,309.4650573730469,101.736572265625,37.797576904296875,46.195499420166016,131.69801330566406,25.08466148376465,20.067073822021484,22.810937881469727,39.33000183105469,48.9420051574707,30.647737503051758,5.974453926086426,9.006961822509766,25.095733642578125,10.070979118347168,40.770477294921875,30.212810516357422,16.57004737854004,8.336673736572266,38.95429229736328,32.046302795410156,74.5248794555664,13.07537841796875,17.138534545898438,15.476250648498535,32.28586959838867,26.082805633544922,22.115081787109375,16.44285774230957,24.180389404296875,,35.39814376831055,20.590925216674805,25.796871185302734,33.99147415161133,14.150362968444824,49.14870071411133,52.114952087402344,45.42845916748047,31.640121459960938,94.63436126708984,47.0107421875,4.628540992736816,20.65134620666504,28.125038146972656,12.976272583007812,42.921173095703125,6.808000087738037,16.549306869506836,20.940000534057617,47.649635314941406,57.043434143066406,22.10496711730957,27.082914352416992,24.39706802368164,23.393754959106445,46.66814041137695,14.37426471710205,56.99582290649414
2012-03-05,6.627472400665283,16.67196273803711,32.27748107910156,22.677982330322266,38.03426742553711,23.2818603515625,7.579999923706055,184.32000732421875,45.95736312866211,6.940398693084717,18.05228614807129,151.50115966796875,24.268529891967773,5.949999809265137,8.629600524902344,29.24248695373535,13.609999656677246,82.80989837646484,24.74583625793457,38.55099868774414,44.0103874206543,12.310746192932129,35.61138153076172,15.972381591796875,11.694999694824219,81.6915512084961,36.85749816894531,14.529034614562988,36.37905502319336,72.41596221923828,8.322870254516602,36.40492248535156,64.56828308105469,25.198514938354492,37.8193244934082,41.3163948059082,17.128599166870117,14.593092918395996,5.352882385253906,8.41865062713623,,83.4250717163086,28.817317962646484,,56.517757415771484,115.96111297607422,27.326824188232422,19.801538467407227,299.0042724609375,99.77261352539062,38.34768295288086,46.21869659423828,132.89697265625,25.532949447631836,20.178884506225586,22.56117820739746,40.880001068115234,48.91935348510742,30.949459075927734,6.004399299621582,9.226961135864258,25.215450286865234,10.171357154846191,40.190860748291016,30.27404022216797,16.102867126464844,7.894542694091797,39.59033966064453,33.65085983276367,73.04202270507812,12.952559471130371,17.424551010131836,15.066169738769531,33.684791564941406,26.00963020324707,22.132020950317383,15.59000015258789,24.537988662719727,,34.88603591918945,20.70781707763672,25.943246841430664,34.605384826660156,14.196627616882324,49.340354919433594,52.15192794799805,45.26842498779297,31.640121459960938,92.733154296875,48.30595016479492,4.504284381866455,21.897443771362305,28.65869140625,13.106578826904297,43.755470275878906,6.947999954223633,16.95098304748535,19.81999969482422,47.737998962402344,57.50552749633789,22.444812774658203,27.31839942932129,24.66835594177246,23.677949905395508,47.51433563232422,14.694982528686523,55.65559768676758
