Date,AAL,AAPL,ABBV,ABC,ABT,ADP,AIG,AMD,AMZN,AXP,BAC,BK,BLK,BMY,BSX,BX,C,CAR,CAT,CBOE,CE,CI,CMCSA,CME,CMS,CNC,COO,CRM,CSCO,CVS,CVX,DAL,DD,DE,DFS,DIS,DUK,EA,EBAY,ET,F,FB,FDX,FE,FOX,GD,GE,GIS,GM,GOOG,GS,HD,HON,IBM,ICE,INTC,IP,IT,JNJ,JPM,KEY,KKR,KO,KR,LEA,LLY,LNG,LUV,MA,MAR,MCD,MGM,MO,MS,MSCI,MSFT,NDAQ,NFLX,NKE,NOW,NTRS,OKE,ORCL,PCG,PFE,PG,PM,PNC,POOL,PSA,QCOM,RF,SBUX,SO,T,TGT,TSLA,TSN,UAL,UNH,UPS,USB,V,VZ,WFC,WMT,WY,XOM
2012-01-02,54.73358000000001,48.38013333333333,,65.54711999999999,27.375300000000006,,,,40.68802,,30.685716666666675,,46.18,54.424719999999986,,,32.68654,,33.62905714285714,,65.9114,29.777083333333334,51.72748000000001,,,,45.58227142857141,,33.55745000000001,,14.532120000000004,,,,,51.101400000000005,,,,0.0,55.97251666666666,69.47447142857142,,29.365540000000006,,,49.07292,,39.16081666666667,53.56455,30.51058,52.47250000000002,48.15222,60.586399999999976,23.69323333333333,42.45535,,61.49535000000002,27.529159999999994,52.35181666666666,,,30.0,66.77132,,68.58603333333333,,25.589040000000008,,62.235650000000014,55.70156000000002,71.57945,53.726,27.341000000000005,17.02893333333333,47.47898571428572,50.6372,37.91258333333334,33.69294,,,,57.771660000000004,,60.177916666666654,14.71017142857143,,,,,38.60466,33.1603,,63.11414000000001,35.066840000000006,31.939340000000012,,51.19959999999998,34.36435714285715,,39.59178000000001,82.46670000000002,,37.27438,29.86888333333334,33.745920000000005,,18.079985714285716
2012-01-09,,47.64825,,52.639542857142864,54.5004,,34.078583333333334,48.24400000000001,64.36902857142857,53.96391666666667,30.140416666666667,66.93888,59.24696,34.304383333333334,20.0,60.37242,29.812900000000003,,60.47822,20.3077,67.9212,29.235716666666665,71.71912,20.65872,,78.18502000000001,44.37235714285714,79.09474,36.464999999999996,55.59084,20.043583333333334,,39.51603333333333,37.1526,62.37988333333333,37.628233333333334,64.71185,60.33394,39.211079999999995,0.0,55.51956666666666,71.8369,71.14829999999999,10.745740000000001,,48.91056,46.67455000000001,77.99174,38.638733333333334,56.02717142857143,26.603785714285717,76.35267142857144,25.56634,62.9607,19.313871428571428,59.92918571428572,87.49243333333334,62.44506666666667,51.663250000000005,37.060583333333334,66.05791666666666,,17.626416666666668,56.8815,45.07068,43.74724,48.68448,18.9019,,67.7329,44.98114999999999,74.79374,23.764428571428574,31.5957,25.03408,42.75897142857143,30.03542,40.50082,54.21776666666667,,,,60.07461666666666,35.327099999999994,59.16184285714286,63.27085999999999,18.649,,0.0,30.58336,55.243359999999996,56.72926,73.0857,48.926300000000005,51.287519999999994,58.28333333333334,,,35.31467142857143,63.97563333333333,48.55363333333333,66.29881428571427,34.39712,65.47803333333333,58.864166666666655,43.27514,,14.45192857142857
2012-01-16,46.53392,54.59278333333334,,46.32387142857142,53.083133333333336,,38.47277999999999,,51.23881666666666,47.179849999999995,26.64818571428571,30.726816666666668,57.898579999999995,52.65989999999999,43.7327,0.0,32.89946666666666,,34.423833333333334,27.185180000000003,56.519679999999994,66.2491,57.56374000000001,,,,44.27562857142857,80.80724000000001,68.16838571428572,74.65058333333333,15.645783333333332,47.26308,27.64108333333333,44.381885714285715,,57.612485714285704,41.01264,55.6699,34.94046666666667,0.0,56.37213333333333,64.75198571428571,40.47951666666666,,,,39.347300000000004,72.26309999999998,29.167083333333334,42.38327142857143,44.13142857142857,75.65888333333334,,64.20151666666666,33.04494285714286,50.139266666666664,86.09134999999999,69.07912857142857,20.39114,22.821328571428573,69.79886,26.8668,16.666666666666668,54.71651999999999,,,43.217014285714285,,,59.58978571428571,,35.35333333333333,46.568400000000004,35.78529999999999,4.91218,49.75205714285715,,15.2541,68.4032,,54.76756,,58.478116666666665,31.896400000000007,54.77665,68.48264999999999,20.0,22.084083333333336,0.0,,,76.38066,67.59048,67.35434285714287,55.69336,60.47416666666667,,,37.417228571428566,39.1476,61.7995,54.161680000000004,,63.55556,45.81183333333333,48.76201428571428,,27.629
2012-01-23,61.440733333333334,59.969157142857135,,58.87752857142857,37.299459999999996,70.67464,45.605016666666664,,52.33265,32.367799999999995,22.57466666666667,50.04131666666667,64.32361666666667,68.90752,3.1699200000000003,0.0,27.62523333333333,,49.637440000000005,13.08496,42.44896,56.92338333333333,61.40958333333334,57.15626000000001,38.686366666666665,75.73442,44.336914285714286,80.64556,59.07726666666667,74.00681999999999,11.613766666666669,36.2585,48.8044,48.92671428571429,,60.780100000000004,61.38362000000001,,70.53016,0.0,53.38625,72.66438571428571,34.48898,20.973899999999997,,40.7764,49.11264,44.839166666666664,39.46478333333334,44.90109999999999,44.681642857142855,72.25684,,60.663914285714284,30.05966666666667,56.889116666666666,61.390433333333334,64.80971666666666,33.510866666666665,30.926416666666668,67.62765,60.0,8.333333333333334,45.80386666666667,,,47.841660000000005,69.67693999999999,64.2086,78.24897999999999,59.591,75.68852,42.8546,54.113414285714285,21.622449999999997,56.681928571428564,42.127179999999996,46.443099999999994,50.014716666666665,,55.96532,,65.25101666666666,,42.35876666666667,46.97312857142857,21.873060000000002,22.37991666666667,0.0,,56.63423333333333,70.19131999999999,62.95284,53.62182857142858,50.358866666666664,61.024633333333334,,,33.5072,,47.76696,57.53073333333333,,49.75842,30.632383333333333,53.260180000000005,,28.641542857142856
2012-01-30,,45.843985714285715,,58.872640000000004,39.915,51.85292,46.007020000000004,55.699450000000006,44.70151428571429,67.63236666666667,38.66395,86.91982,62.08905000000001,37.162,68.4251,26.63173333333333,30.524466666666665,30.0956,46.10708,22.4468,36.37396666666667,38.8301,80.76545,29.649700000000003,,76.17144,44.02672857142857,,55.82383333333333,54.86598333333333,34.12363333333334,36.60261666666667,28.110699999999998,47.90936666666666,,60.48905,56.18317999999999,60.24667999999999,,0.0,57.03428333333333,71.39052857142858,,43.0581,88.88928,,52.161680000000004,61.79312,39.639,48.90448333333333,22.82024285714286,85.52416000000001,55.424040000000005,69.09656666666667,34.36205714285715,51.54241666666667,50.34439999999999,60.45028333333334,24.37675,39.35413333333333,60.413114285714286,,29.200550000000003,,,39.07154,52.31946000000001,82.8014,58.98838333333333,55.2809,,71.89434000000001,49.443239999999996,49.79176666666667,9.65292,53.507285714285715,,42.48125,,,,,85.72659999999999,,33.92074,41.64881428571429,10.94205,17.11162,,73.33333999999999,34.0542,68.41654000000001,,66.87486,55.42113333333334,50.52764,,,37.83,69.14243333333333,39.716300000000004,73.97985,31.954333333333334,60.89318571428571,59.94098,42.40683333333334,15.7469,28.347642857142855
2012-02-06,71.51862857142858,44.6916,,46.62378571428572,,,38.88250000000001,59.78568333333333,64.62883333333333,60.52743333333334,27.731866666666665,53.90324999999999,68.32241666666665,52.74159999999999,,27.769816666666667,29.165616666666665,53.58476,51.684760000000004,20.321640000000002,24.88486,54.11186,62.74628,24.004420000000003,,64.38195999999999,42.96545714285714,52.52419999999999,42.056916666666666,52.49126,7.28108,34.11332,,34.53991666666667,67.68228,51.27211666666667,,35.27345,40.12528,0.0,56.4040142857143,90.4232142857143,,28.1173,,,37.242916666666666,72.81327999999999,27.310766666666666,45.56321428571429,22.420257142857142,55.51222,26.440179999999998,61.8866,37.07832857142857,60.62588000000001,77.32956666666666,58.950157142857144,16.666666666666668,17.29075,62.788079999999994,40.26338,43.99661666666666,,,47.30334,49.00904,,75.17062,72.64847999999999,45.585119999999996,,48.04418,44.38853333333333,10.451559999999999,55.84307142857142,63.35006,28.29498,,,,,42.67968333333334,,34.69846666666666,25.738857142857146,30.089616666666668,37.8421,,0.0,30.857066666666665,55.77314,64.81354,51.32648333333333,61.226800000000004,63.85262,,,38.23048571428571,71.15306000000001,,66.47038,37.98234,42.315400000000004,20.294842857142857,29.685016666666666,,22.651600000000002
2012-02-13,,37.227871428571426,,57.24688571428572,64.7235,,49.84211428571429,56.484939999999995,47.140299999999996,55.33178,29.64833333333333,48.95072,52.22465,43.579049999999995,47.14658,40.0,27.5774,43.60131666666666,58.01216666666667,18.702416666666668,53.273142857142865,42.777339999999995,53.31288571428571,33.764160000000004,,46.63575,43.25348571428571,68.54091666666666,44.75575,68.94054000000001,24.891879999999997,41.3802,22.19088,36.47765714285715,,56.86751666666667,51.57774285714286,70.51808,,0.0,61.15272,85.62950000000001,54.36213333333333,50.13888,,,63.44201666666667,60.083400000000005,32.9971,43.43971428571428,32.132200000000005,56.6174,63.40734,69.10738333333333,23.907657142857143,58.971816666666676,75.19628,59.02408333333333,17.83565,26.669679999999993,54.94596666666666,56.22876,,37.57763333333333,50.81208,54.428999999999995,44.55022,45.59228,,71.54623333333333,,61.762000000000015,71.19035,32.16795714285714,12.038283333333334,60.2566,40.37066,55.62696,67.14658,,47.828183333333335,22.40172,69.73516,20.189280000000004,36.994733333333336,42.025016666666666,40.341339999999995,45.351283333333335,23.8017,14.7924,47.22864,64.87764,,50.797999999999995,41.352583333333335,55.75845,,49.13928,37.24704285714285,80.99156,67.59463333333333,79.97226000000002,12.740433333333334,65.61393999999999,21.763666666666666,43.858140000000006,53.3077,29.463616666666667
2012-02-20,,50.157300000000006,,68.08348571428571,47.7563,,23.90322857142857,35.89353333333333,41.979285714285716,47.65136666666666,30.921071428571427,38.279316666666666,39.63467142857143,,46.682050000000004,16.666666666666668,22.44185,,40.23996666666667,24.308716666666665,47.93604285714286,46.70762857142857,54.940599999999996,43.34276666666667,,71.13178,42.65812857142856,63.36976666666666,61.41101999999999,39.07458571428572,18.96975,57.89209999999999,,49.42898333333333,46.842220000000005,57.50001428571428,64.91638333333334,66.15912,45.08981666666667,0.0,55.08698333333333,61.55720000000001,51.682579999999994,64.0968,74.57939999999999,,65.44295714285714,58.251599999999996,38.180949999999996,57.58631428571429,24.190349999999995,59.855133333333335,,62.298183333333334,35.71194285714286,48.782428571428575,70.34941666666667,56.81034285714286,23.438066666666668,26.175242857142855,58.064499999999995,,50.2262,39.5912,,19.5456,46.29250000000001,87.89071666666666,,52.52106666666668,,63.76894,29.148685714285712,33.61412857142857,17.969966666666668,66.08788571428572,,,70.22103999999999,,,35.04388,68.53116666666666,,42.79024285714286,32.90438,32.339099999999995,48.198139999999995,22.921516666666665,,46.2503,53.55606,,53.244885714285715,50.66321428571429,59.69558000000001,,,31.333771428571428,31.64864,36.824,73.33319999999999,35.88422,61.259416666666674,42.83175714285714,46.10996666666667,,27.231650000000002
2012-02-27,,53.625157142857155,,48.53713333333334,61.05065999999999,,49.986066666666666,56.018460000000005,60.438649999999996,47.09275,26.946542857142855,65.14076,62.032180000000004,39.75546,44.60194,40.0,36.26417142857142,,50.44978,17.74764,65.14648,65.14525,53.53376666666667,30.671120000000002,63.45486,77.81226666666667,43.223657142857135,80.09079999999999,58.08711666666667,67.2544,19.33655,53.38543333333333,,51.1968,47.50894,44.43983333333333,56.59496666666667,83.1701,,0.0,46.14248571428572,59.551571428571435,,40.98791666666667,,,47.490359999999995,82.64122,36.70808571428571,61.52914285714286,42.173542857142856,69.42654285714286,53.352880000000006,56.620171428571425,26.504185714285715,55.997683333333335,69.94314,74.5341,33.80168,41.50812857142857,62.787499999999994,,27.086239999999997,45.70408,,62.989,,,50.11816666666667,67.8672,38.1452,56.592360000000006,54.27664,25.88458571428572,21.094814285714286,65.07464285714286,39.568560000000005,18.000120000000003,52.33900000000001,,,33.73531428571429,69.37841666666667,19.786933333333334,35.9375,19.649671428571427,4.99326,52.6528,0.0,28.571428571428573,58.71576666666667,52.29277142857143,26.345640000000003,65.52716000000001,53.552214285714285,79.43656666666666,,47.13268,38.78104285714286,30.8207,62.3606,59.010914285714286,35.038560000000004,60.819271428571426,34.123000000000005,60.13418,,33.57755
2012-03-05,44.08423333333332,48.1044,,50.241600000000005,41.88153333333333,29.664466666666666,24.947550000000003,42.17728571428571,42.89823333333334,36.243100000000005,28.03815714285715,25.86583333333333,41.21491666666666,55.41906666666667,33.88245,20.0,35.49786,35.49718,24.75166666666667,8.347366666666668,64.01924,58.858983333333335,19.546366666666668,29.649516666666667,41.666666666666664,57.00418333333334,45.286814285714286,55.11988333333333,47.53365714285714,43.97913333333333,3.7035428571428572,44.34908333333333,31.694483333333334,49.449749999999995,61.57841666666667,49.937014285714284,20.0267,49.60595,33.931733333333334,0.0,54.41084285714286,77.18425714285715,,13.873,,73.51045,46.36567142857143,65.29572,36.13621666666667,47.6492,36.715314285714285,57.9556,67.11703333333334,66.01418571428572,34.02557142857143,43.414028571428574,64.90733333333334,68.25016666666667,17.055542857142857,32.96655714285714,58.22408333333334,31.159879999999998,19.561049999999998,20.00537142857143,36.6129,42.697185714285716,42.48038333333333,44.55725714285715,24.484671428571428,66.8555,55.09187142857144,50.0,57.18553333333333,35.56632857142857,0.7556666666666666,68.63885714285715,55.71845,44.149316666666664,58.498766666666675,,22.6159,,52.373171428571425,17.4008,32.382866666666665,37.137814285714285,7.675233333333334,34.711485714285715,0.0,73.53776666666667,46.49707142857143,52.13807999999999,51.430871428571436,59.52605,44.06108333333333,53.63568,75.27158,,36.57932857142857,38.11846,52.86314,71.13771999999999,,59.4229,31.323271428571427,27.145750000000003,,27.94198333333333
